case_id,label,difficulty,local_field_v_per_m,local_cae,maxwell_pressure_pa,capillary_pressure_pa,force_balance_ratio,current_proxy_a,charge_to_mass_proxy_c_per_kg,nonaxisymmetric_offset,transverse_rms_radius,plume_divergence_proxy_deg,instability_class
C0_normal,normal sharp tip,1,2671252.3640342955,0.15672520152342526,31.589923432065397,496.1538461538462,0.0636696131188915,3.2225229322500524e-06,165.6377887011444,2.3551386880256624e-16,0.19882352551700833,2.5400000000000285,stable cone-jet likely
C1_bent_2deg,2 deg bent tip,2,2751389.9349553245,0.16626976629620185,33.51374976907818,516.8269230769231,0.06484520885551871,3.3191986202175545e-06,170.60692236217872,0.019230653497733896,0.197891415257664,5.387678419728068,stable cone-jet likely
C1_bent_5deg,5 deg bent tip,2,2884952.5531570395,0.18280427505692323,36.84648669116109,539.2976588628763,0.06832309780252505,3.4803247668300574e-06,178.88881179723597,0.03205131131830008,0.19622278863620676,7.82615735819601,asymmetric cone-jet risk
C1_bent_10deg,10 deg bent tip,2,3098652.7422797824,0.21088943116992095,42.50740097018719,590.6593406593407,0.07196601838673551,3.7381266014100606e-06,192.13983489332747,0.06410298533511083,0.1938007391281238,13.292358240213298,whipping/multi-jet risk
C2_bump_002Do,single bump h=0.02Do,3,2938377.6004377254,0.18963749384334458,38.22380735279914,576.923076923077,0.0662545994115185,3.5447752254750577e-06,182.2015675712588,0.019230653624008,0.1978914157104501,5.38767843488096,stable cone-jet likely
C2_bump_005Do,single bump h=0.05Do,3,3285640.4077621833,0.23710955738479,47.79239516037173,689.1025641025642,0.06935454553505106,3.963703206667564e-06,203.7344801024076,0.019230653880535575,0.1978914166303261,5.927678465664269,stable cone-jet likely
C2_bump_010Do,single bump h=0.10Do,3,3873315.9278497286,0.32951473620300153,66.4178140159175,954.1420118343196,0.06960998802288407,4.672658251762577e-06,240.17479361665937,0.04487173697021307,0.19369357108270305,12.867624203530621,asymmetric cone-jet risk
C3_split_002Do,split/notched tip d=0.02Do,4,3152077.7895604684,0.21822417060121727,43.98580938680785,652.8340080971661,0.06737671267312581,3.802577060055062e-06,195.45259066735036,0.032051311442522934,0.1962227893479441,7.8261573731027525,asymmetric cone-jet risk
C3_split_005Do,split/notched tip d=0.05Do,4,3686328.2623673277,0.298467473781211,60.15985018402534,855.4376657824935,0.07032639850969782,4.447081646505072e-06,228.58014840757923,0.0566667950905021,0.18741177872777298,13.736376993202636,whipping/multi-jet risk
C3_split_010Do,split/notched tip d=0.10Do,4,4541129.018858302,0.45293583240269897,91.29487871866901,1240.3846153846155,0.07360207276543858,5.478288984825089e-06,281.58424079194543,0.07098799473470552,0.19405501650979046,22.301313502259127,whipping/multi-jet risk
C4_oxidized_mild,mild oxidized rough tip,5,2884952.5531570395,0.18280427505692323,36.84648669116109,551.2820512820513,0.06683781306768756,2.610243575122543e-06,134.16660884792697,0.01923065358708298,0.19789141557804465,5.747678430449957,stable cone-jet likely
C4_oxidized_moderate,moderate oxidized rough tip,5,3071940.2186394394,0.20726907901472982,41.77767373890648,620.1923076923077,0.06736245067978719,2.038245754648158e-06,104.76590135347381,0.04487173664776867,0.19369356923974196,9.72460839773224,asymmetric cone-jet risk
C4_oxidized_severe,severe oxidized rough tip,5,3472628.0732445843,0.2648655905745887,53.38697060019053,800.2481389578164,0.06671302062597452,1.2567839435775205e-06,64.59873759344632,0.06410298563704186,0.19380074003534728,13.812653946555628,whipping/multi-jet risk
