step,accepted_dt,transverse_centroid_offset,pass_metric,rejected_step_count,max_velocity_increment,droplet_count,breakup_event_count
0.0,0.0,0.01860163329510829,0.0,0.0,0.0,0.0,0.0
1.0,0.0005,0.018601410679092562,6.03515824815215e-06,1.0,0.00021378717613668274,1.0,0.0
2.0,0.0005,0.0186012272771851,6.172884603250495e-06,1.0,0.00031319051872224477,1.0,0.0
3.0,0.0005,0.018601082550941467,6.309055561759536e-06,1.0,0.00030600834248949247,1.0,0.0
4.0,0.0005,0.018600975934984477,6.443773612585524e-06,1.0,0.0002980185262293516,1.0,0.0
5.0,0.0005,0.01860090685294102,6.577285028397384e-06,1.0,0.0002894366636149076,1.0,0.0
6.0,0.0005,0.01860085396552923,6.83169863058275e-06,1.0,0.0002844140095325706,1.0,0.0
7.0,0.0005,0.01860079753494012,7.197058408792145e-06,1.0,0.00028078397200642874,1.0,0.0
8.0,0.0005,0.018600736618656674,7.564219463240818e-06,1.0,0.0002766481027066537,1.0,0.0
9.0,0.0005,0.018600670351313228,7.932987756364973e-06,1.0,0.0002722723333798164,1.0,0.0
10.0,0.0005,0.018600597931424094,8.30322516109927e-06,1.0,0.0002722043196033398,1.0,0.0
11.0,0.0005,0.018600518611413694,8.674830793919952e-06,1.0,0.0002721474194909333,1.0,0.0
12.0,0.0005,0.01860043168999508,9.047728887101592e-06,1.0,0.00027209937034982403,1.0,0.0
13.0,0.0005,0.018600336506221032,9.421860705072227e-06,1.0,0.00027205872118341587,1.0,0.0
14.0,0.0005,0.01860023243477397,9.797179041037829e-06,1.0,0.00027202449697056013,1.0,0.0
15.0,0.00025,0.018600175744916153,5.088562908150962e-06,2.0,0.00013599800683681225,1.0,0.0
16.0,0.00025,0.018600114182964755,5.278750065840221e-06,2.0,0.00013599263350194693,1.0,0.0
17.0,0.00025,0.01860004752915208,5.469298363092179e-06,2.0,0.00013598856676499122,1.0,0.0
18.0,0.00025,0.018599975574018563,5.6601795860311555e-06,2.0,0.00013598585557858043,1.0,0.0
19.0,0.00025,0.018599898117354532,5.851370483811458e-06,2.0,0.00013598450089641562,1.0,0.0
20.0,0.00025,0.01859981496729367,6.042851663723425e-06,2.0,0.00013598447316931102,1.0,0.0
21.0,0.00025,0.018599725939531898,6.234606755639582e-06,2.0,0.0001359857246632939,1.0,0.0
22.0,0.00025,0.018599630856651252,6.4266217721931085e-06,2.0,0.0001359881979106049,1.0,0.0
23.0,0.00025,0.01859952954752726,6.618884612508147e-06,2.0,0.00013599183135368188,1.0,0.0
24.0,0.00025,0.01859942184680694,6.811384678506727e-06,2.0,0.00013599656299714485,1.0,0.0
25.0,0.00025,0.018599307594443275,7.004112571262766e-06,2.0,0.00013600233267377555,1.0,0.0
26.0,0.00025,0.0185991866352832,7.1970598591875046e-06,2.0,0.00013600908336373457,1.0,0.0
27.0,0.00025,0.018599058818690777,7.39021888740421e-06,2.0,0.00013601676188013597,1.0,0.0
28.0,0.00025,0.01859892026750433,7.557752710884991e-06,2.0,0.00013602531913982276,1.0,0.0
29.0,0.00025,0.018598770608001927,7.723999426723083e-06,2.0,0.00013603470789594902,1.0,0.0
30.0,0.00025,0.018598609687450477,7.890345042116387e-06,2.0,0.00013604488715816978,1.0,0.0
