step,accepted_dt,transverse_centroid_offset,pass_metric,rejected_step_count,max_velocity_increment,droplet_count,breakup_event_count
0.0,0.0,0.05659615711335907,0.0,0.0,0.0,0.0,0.0
1.0,0.0005,0.05659612100215804,6.749882513368277e-06,1.0,0.0002625906551365587,1.0,0.0
2.0,0.0005,0.056596077475618976,7.242127293083378e-06,1.0,0.0003296892224144926,1.0,0.0
3.0,0.0005,0.056596026679068004,7.725253642121288e-06,1.0,0.00032320094982746716,1.0,0.0
4.0,0.0005,0.056595968477752,8.198821426219638e-06,1.0,0.0003168808000476102,1.0,0.0
5.0,0.0005,0.05659590269132627,8.663740852954405e-06,1.0,0.00031069605310618775,1.0,0.0
6.0,0.0005,0.056595829103462086,9.12116223295012e-06,1.0,0.0003046258157145291,1.0,0.0
7.0,0.0005,0.05659574747302823,9.572148712444495e-06,1.0,0.0002986576933129359,1.0,0.0
8.0,0.00025,0.056595702327078,5.012032415319112e-06,2.0,0.00014639246116398711,1.0,0.0
9.0,0.00025,0.05659565274508679,5.23531759166751e-06,2.0,0.0001449377554434399,1.0,0.0
10.0,0.00025,0.05659559861783121,5.456279420834598e-06,2.0,0.00014348253419866776,1.0,0.0
11.0,0.00025,0.05659553983710873,5.675202954247283e-06,2.0,0.0001420270302653569,1.0,0.0
12.0,0.00025,0.056595476296793776,5.8923311101466425e-06,2.0,0.0001405717302536007,1.0,0.0
13.0,0.00025,0.056595407893414815,6.107872778993162e-06,2.0,0.00013911732203095614,1.0,0.0
14.0,0.00025,0.05659533452655566,6.322009203030277e-06,2.0,0.0001376646435878363,1.0,0.0
15.0,0.00025,0.05659525609904383,6.534898975396608e-06,2.0,0.00013665222877423623,1.0,0.0
16.0,0.00025,0.05659517251708299,6.746681981750768e-06,2.0,0.00013665207172099212,1.0,0.0
17.0,0.00025,0.05659508362155799,6.9584796607014e-06,2.0,0.00013665189289063285,1.0,0.0
18.0,0.00025,0.05659498920965199,7.1720102385874895e-06,2.0,0.0001366516937120516,1.0,0.0
19.0,0.00025,0.05659488918965733,7.384962475764922e-06,2.0,0.00013665147585691472,1.0,0.0
20.0,0.00025,0.05659478347454991,7.597408354320656e-06,2.0,0.00013665124061736498,1.0,0.0
21.0,0.00025,0.0565946719819102,7.809413724801928e-06,2.0,0.0001366509891978824,1.0,0.0
22.0,0.00025,0.05659455463385602,8.021039171413058e-06,2.0,0.00013665072269617953,1.0,0.0
23.0,0.00025,0.05659443135697787,8.232340711122887e-06,2.0,0.00013665044209667238,1.0,0.0
24.0,0.00025,0.056594302082281826,8.443370370092573e-06,2.0,0.00013665014827174448,1.0,0.0
25.0,0.00025,0.056594166745133234,8.654176644973255e-06,2.0,0.00013664984198755167,1.0,0.0
26.0,0.00025,0.05659402528520122,8.864804887820377e-06,2.0,0.00013664952391221057,1.0,0.0
27.0,0.00025,0.05659387739916674,9.07215507606196e-06,2.0,0.00013664919462499388,1.0,0.0
28.0,0.00025,0.056593722208626185,9.268903888526303e-06,2.0,0.0001366488547979154,1.0,0.0
29.0,0.00025,0.05659355966400126,9.465570755096131e-06,2.0,0.00013664850543455655,1.0,0.0
30.0,0.00025,0.05659338971997117,9.662192944182024e-06,2.0,0.00013664814689564296,1.0,0.0
