step,accepted_dt,transverse_centroid_offset,pass_metric,rejected_step_count,max_velocity_increment,droplet_count,breakup_event_count
0.0,0.0,0.04886216817150653,0.0,0.0,0.0,0.0,0.0
1.0,0.0005,0.04886208003355675,6.607562541782741e-06,1.0,0.0002402541549976885,1.0,0.0
2.0,0.0005,0.048861981203875894,7.148390526623416e-06,1.0,0.00031745894346843154,1.0,0.0
3.0,0.0005,0.04886187249996779,7.6858451591999e-06,1.0,0.00031134484475535114,1.0,0.0
4.0,0.0005,0.04886175447597461,8.219035625534055e-06,1.0,0.000305359227853921,1.0,0.0
5.0,0.0005,0.0488616274971316,8.747910976714124e-06,1.0,0.00029948479316694714,1.0,0.0
6.0,0.0005,0.048861491801037805,9.272725509323898e-06,1.0,0.00029371051724279295,1.0,0.0
7.0,0.0005,0.04886134753378285,9.793859161111307e-06,1.0,0.0002880306599531193,1.0,0.0
8.0,0.00025,0.04886127098043313,5.15947927159921e-06,2.0,0.00014122138666974068,1.0,0.0
9.0,0.00025,0.04886119004667306,5.420453011995008e-06,2.0,0.00013983972699126146,1.0,0.0
10.0,0.00025,0.04886110475014649,5.680009791619867e-06,2.0,0.00013846175651750214,1.0,0.0
11.0,0.00025,0.04886101509442795,5.938289948548281e-06,2.0,0.00013708720461225459,1.0,0.0
12.0,0.00025,0.04886092107212932,6.195424400501359e-06,2.0,0.00013589463803594473,1.0,0.0
13.0,0.00025,0.04886082266713235,6.451533674955989e-06,2.0,0.00013535576274791844,1.0,0.0
14.0,0.00025,0.04886071985628651,6.706728003846862e-06,2.0,0.0001348837295539129,1.0,0.0
15.0,0.00025,0.048860612610708516,6.961107888669993e-06,2.0,0.00013447751395358616,1.0,0.0
16.0,0.00025,0.04886050089691797,7.214764864760248e-06,2.0,0.00013413624256690046,1.0,0.0
17.0,0.00025,0.048860384677711824,7.467782303427484e-06,2.0,0.00013385919653417124,1.0,0.0
18.0,0.00025,0.04886026391293004,7.720236195662977e-06,2.0,0.0001336458135371581,1.0,0.0
19.0,0.00025,0.048860138560113155,7.972195874228483e-06,2.0,0.00013349568916823227,1.0,0.0
20.0,0.00025,0.04886000860796224,8.225091588265343e-06,2.0,0.00013340857813477945,1.0,0.0
21.0,0.00025,0.04885987140629521,8.467296470748842e-06,2.0,0.0001333843957948771,1.0,0.0
22.0,0.00025,0.04885972539165555,8.703118354769224e-06,2.0,0.00013338333730908818,1.0,0.0
23.0,0.00025,0.04885956898061002,8.948946591424978e-06,2.0,0.0001333823298377705,1.0,0.0
24.0,0.00025,0.048859401820593236,9.196603402705783e-06,2.0,0.00013338137193430526,1.0,0.0
25.0,0.00025,0.0488592251337751,9.435611016073153e-06,2.0,0.00013338046378235394,1.0,0.0
26.0,0.00025,0.04885903885784869,9.674602844733649e-06,2.0,0.00013337960748960608,1.0,0.0
27.0,0.00025,0.048858842136053876,9.902790326532518e-06,2.0,0.00013337880290692782,1.0,0.0
28.0,0.000125,0.048858738323226646,5.064518123765183e-06,3.0,6.668902504276861e-05,1.0,0.0
29.0,0.000125,0.04885862905429813,5.177523609734003e-06,3.0,6.668884212237828e-05,1.0,0.0
30.0,0.000125,0.048858514312355064,5.290488127362991e-06,3.0,6.668865727804289e-05,1.0,0.0
