step,accepted_dt,transverse_centroid_offset,pass_metric,rejected_step_count,max_velocity_increment,droplet_count,breakup_event_count
0.0,0.0,0.07297936108358989,0.0,0.0,0.0,0.0,0.0
1.0,0.0005,0.0729794451128853,6.4813934277374585e-06,1.0,0.0002850492883205819,1.0,0.0
2.0,0.0005,0.0729795344666109,6.886457705745919e-06,1.0,0.00033973861492490946,1.0,0.0
3.0,0.0005,0.07297961773383883,7.263908398225105e-06,1.0,0.0003334104899533525,1.0,0.0
4.0,0.0005,0.0729796682951136,7.5806263927225e-06,1.0,0.00032734294413383063,1.0,0.0
5.0,0.0005,0.07297968325447585,7.8871894786392e-06,1.0,0.00032150979643150553,1.0,0.0
6.0,0.0005,0.07297966047895109,8.186124132225636e-06,1.0,0.00031586996268664945,1.0,0.0
7.0,0.0005,0.07297959831899435,8.479177877496191e-06,1.0,0.00031040296920776855,1.0,0.0
8.0,0.0005,0.07297949544969856,8.76760608703453e-06,1.0,0.0003050949201305962,1.0,0.0
9.0,0.0005,0.07297935074789051,9.052572145007431e-06,1.0,0.0002999355949415279,1.0,0.0
10.0,0.0005,0.072979162919026,9.337510411433492e-06,1.0,0.00029491413229837176,1.0,0.0
11.0,0.0005,0.07297893112243178,9.620444317959276e-06,1.0,0.0002900227844887553,1.0,0.0
12.0,0.0005,0.0729786546255884,9.901807678902586e-06,1.0,0.00028525564353354063,1.0,0.0
13.0,0.00025,0.07297849489166001,5.099182537438018e-06,2.0,0.00014030402273856502,1.0,0.0
14.0,0.00025,0.07297831346187487,5.247413917386368e-06,2.0,0.0001391652452718968,1.0,0.0
15.0,0.00025,0.07297811012536444,5.3959050213547854e-06,2.0,0.0001380401311694099,1.0,0.0
16.0,0.00025,0.07297788465130856,5.544003107482709e-06,2.0,0.0001369287136717083,1.0,0.0
17.0,0.00025,0.0729776368267703,5.691765507243041e-06,2.0,0.0001358310412482946,1.0,0.0
18.0,0.00025,0.07297736645446627,5.839242785077303e-06,2.0,0.00013543900241657768,1.0,0.0
19.0,0.00025,0.07297707673819025,5.998919965000127e-06,2.0,0.0001354397366942289,1.0,0.0
20.0,0.00025,0.07297677121511438,6.172016339123232e-06,2.0,0.00013544050820771592,1.0,0.0
21.0,0.00025,0.07297644978740885,6.345177079980502e-06,2.0,0.0001354413170836485,1.0,0.0
22.0,0.00025,0.07297611236244252,6.518416522105497e-06,2.0,0.0001354421634511539,1.0,0.0
23.0,0.00025,0.07297575885243374,6.6917480161521325e-06,2.0,0.00013544304744717042,1.0,0.0
24.0,0.00025,0.07297538917418545,6.865183955206966e-06,2.0,0.0001354439692055577,1.0,0.0
25.0,0.00025,0.07297500324886287,7.038735803543972e-06,2.0,0.00013544492885766873,1.0,0.0
26.0,0.00025,0.07297460100179355,7.212414127821809e-06,2.0,0.00013544592653282652,1.0,0.0
27.0,0.00025,0.0729741823622988,7.386228630057445e-06,2.0,0.0001354469623587193,1.0,0.0
28.0,0.00025,0.07297374612558075,7.547484856096354e-06,2.0,0.00013544803646172837,1.0,0.0
29.0,0.00025,0.07297329220977226,7.708685552221262e-06,2.0,0.00013544914901450687,1.0,0.0
30.0,0.00025,0.07297282055222748,7.87001322133385e-06,2.0,0.00013545030014233298,1.0,0.0
