step,accepted_dt,transverse_centroid_offset,pass_metric,rejected_step_count,max_velocity_increment,droplet_count,breakup_event_count
0.0,0.0,0.05659615711335907,0.0,0.0,0.0,0.0,0.0
1.0,0.0005,0.05659612101470158,6.749892921376066e-06,1.0,0.0002640808984038258,1.0,0.0
2.0,0.0005,0.0565960774804628,7.242184970501775e-06,1.0,0.0003312020914535575,1.0,0.0
3.0,0.0005,0.05659602666982715,7.72538800719591e-06,1.0,0.00032468481422203474,1.0,0.0
4.0,0.0005,0.05659596844807276,8.199048533552578e-06,1.0,0.0003183362023693704,1.0,0.0
5.0,0.0005,0.056595902636905865,8.664075322739606e-06,1.0,0.00031212346807279334,1.0,0.0
6.0,0.0005,0.05659582902083172,9.121603828377012e-06,1.0,0.00030602565214138205,1.0,0.0
7.0,0.0005,0.05659574735950486,9.572695094384187e-06,1.0,0.00030003031391264334,1.0,0.0
8.0,0.00025,0.05659570219735943,5.012350054900416e-06,2.0,0.0001470653268285724,1.0,0.0
9.0,0.00025,0.05659565259869043,5.235676999615357e-06,2.0,0.00014560391923555989,1.0,0.0
10.0,0.00025,0.05659559845444408,5.45667818674378e-06,2.0,0.00014414194602607288,1.0,0.0
11.0,0.00025,0.056595539656524155,5.675638902302715e-06,2.0,0.00014267964205741106,1.0,0.0
12.0,0.00025,0.05659547609886386,5.892802263041119e-06,2.0,0.00014121749752817823,1.0,0.0
13.0,0.00025,0.0565954076780164,6.108377329505643e-06,2.0,0.00013975620492820236,1.0,0.0
14.0,0.00025,0.05659533429356138,6.322545485604181e-06,2.0,0.00013829660758175622,1.0,0.0
15.0,0.00025,0.05659525584830388,6.535465444934552e-06,2.0,0.0001373973382808649,1.0,0.0
16.0,0.00025,0.05659517224840672,6.747277193297485e-06,2.0,0.0001373971796415631,1.0,0.0
17.0,0.00025,0.05659508331717773,6.9590465607838325e-06,2.0,0.00013739699925970444,1.0,0.0
18.0,0.00025,0.05659498886816787,7.172599523541656e-06,2.0,0.00013739679855760733,1.0,0.0
19.0,0.00025,0.05659488880962516,7.385572949103469e-06,2.0,0.00013739657921275664,1.0,0.0
20.0,0.00025,0.056594783054473234,7.598038877620894e-06,2.0,0.0001373963425138395,1.0,0.0
21.0,0.00025,0.05659467152023352,7.810063210711427e-06,2.0,0.00013739608966106159,1.0,0.0
22.0,0.00025,0.056594554128956774,8.02170657854262e-06,2.0,0.00013739582174753014,1.0,0.0
23.0,0.00025,0.0565944308071628,8.233025042270192e-06,2.0,0.00013739553975302944,1.0,0.0
24.0,0.00025,0.056594301485781,8.444070666802084e-06,2.0,0.00013739524454547668,1.0,0.0
25.0,0.00025,0.056594166100098264,8.654891989534619e-06,2.0,0.00013739493688682929,1.0,0.0
26.0,0.00025,0.056594024589701045,8.865534400714914e-06,2.0,0.0001373946174413291,1.0,0.0
27.0,0.00025,0.056593876650849285,9.072893640604818e-06,2.0,0.00013739428678471733,1.0,0.0
28.0,0.00025,0.056593721405312214,9.269653985510828e-06,2.0,0.00013739394557762036,1.0,0.0
29.0,0.00025,0.056593558803424315,9.466331614027546e-06,2.0,0.00013739359479243514,1.0,0.0
30.0,0.00025,0.05659338879977639,9.662963840084693e-06,2.0,0.00013739323478725098,1.0,0.0
