case	scheme_dir	file	MB	mtime	abs_path
2cyl_sphere	s2_sphere	out_t0.7000.vtk	371.9	2026-07-12 15:04:03	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_final/s2_sphere/out_t0.7000.vtk
2cyl_sphere	s2_sphere	out_t0.8000.vtk	375.9	2026-07-12 15:22:55	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_final/s2_sphere/out_t0.8000.vtk
deform3d	s1_ret_cfl025_nomood	out.vtk	131.4	2026-07-30 08:44:11	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_deform_cfl/s1_ret_cfl025_nomood/out.vtk
deform3d	s2_ret_cfl025_nomood	out.vtk	131.5	2026-07-29 22:25:55	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_deform_cfl/s2_ret_cfl025_nomood/out.vtk
deform3d_t2	s1	out.vtk	130.8	2026-07-30 00:54:28	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_deform_final/s1/out.vtk
deform3d_t2	s1	out.vtk_t1.5000.vtk	131.4	2026-07-30 00:03:32	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_deform_final/s1/out.vtk_t1.5000.vtk
deform3d_t2	s2	out.vtk	130.8	2026-07-30 02:07:09	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_deform_final/s2/out.vtk
deform3d_t2	s2	out.vtk_t1.5000.vtk	131.4	2026-07-30 01:41:19	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_deform_final/s2/out.vtk_t1.5000.vtk
deform3d_mood	s1_T2	out.vtk	131.4	2026-07-29 16:37:34	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_deform_mood/s1_T2/out.vtk
deform3d_mood	s1_ret	out.vtk	131.3	2026-07-29 18:10:33	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_deform_mood/s1_ret/out.vtk
deform3d_mood	s2_seg	out.vtk	131.0	2026-07-29 19:02:13	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_deform_mood/s2_seg/out.vtk
deform3d_mood	s2_seg	out.vtk_t1.5000.vtk	131.4	2026-07-29 18:37:54	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_deform_mood/s2_seg/out.vtk_t1.5000.vtk
