case_id,label,difficulty,max_field_v_per_m,field_enhancement,high_field_centroid_x_um,high_field_centroid_y_um,high_field_offset_um,lateral_asymmetry,local_cae,maxwell_pressure_pa,risk_class,iterations,final_update_norm
C0_normal,normal sharp tip,1,4818813.513514076,1.8039529242517534,-5.5923233727770526e-15,-0.9820377166750216,0.9820377166750216,0.3818978177461241,0.5100223841226622,102.8013867997241,whipping/multi-jet risk,850,0.1142673896965789
C1_bent_2deg,2 deg bent tip,2,4992025.065771872,1.8687957502572305,8.066145693913903,-6.530951835476693e-15,8.066145693913903,0.3821964245338553,0.5473467107921477,110.32457139404227,whipping/multi-jet risk,850,0.11470870128869137
C1_bent_5deg,5 deg bent tip,2,4819737.406861275,1.804298789494453,29.434674671977593,5.176289497010434e-15,29.434674671977593,0.37974374407717437,0.5102179722929095,102.84081004028957,whipping/multi-jet risk,850,0.11772836427849143
C1_bent_10deg,10 deg bent tip,2,4861922.000814202,1.820090855613289,57.14007177547265,-2.750979701558439e-15,57.14007177547265,0.3785596625697013,0.5191883901059803,104.64890988073664,whipping/multi-jet risk,850,0.12198416818932856
C2_bump_002Do,single bump h=0.02Do,3,5760270.100429966,2.1563930753927116,6.2642500472158895,-1.1769911316592217e-14,6.2642500472158895,0.3931325991937414,0.7287770605483606,146.8941262667789,whipping/multi-jet risk,850,0.11391328728814187
C2_bump_005Do,single bump h=0.05Do,3,5760270.100429966,2.1563930753927116,6.2642500472158895,-1.1769911316592217e-14,6.2642500472158895,0.3931325991937414,0.7287770605483606,146.8941262667789,whipping/multi-jet risk,850,0.11391328728814187
C2_bump_010Do,single bump h=0.10Do,3,6414643.9693548195,2.4013620187001035,4.063172351149289,-3.953951421568263e-15,4.063172351149289,0.41525440571340816,0.9037620722602692,182.16454268996048,whipping/multi-jet risk,850,0.11342812931161461
C3_split_002Do,split/notched tip d=0.02Do,4,4848490.873060455,1.8150628290836417,-4.991344260561533e-15,2.37712770409243e-14,2.4289650670271388e-14,0.379754516399291,0.5163238218570642,104.07152034306449,whipping/multi-jet risk,850,0.11449213428954863
C3_split_005Do,split/notched tip d=0.05Do,4,4848490.873060455,1.8150628290836417,-4.991344260561533e-15,2.37712770409243e-14,2.4289650670271388e-14,0.379754516399291,0.5163238218570642,104.07152034306449,whipping/multi-jet risk,850,0.11449213428954863
C3_split_010Do,split/notched tip d=0.10Do,4,4848490.873060455,1.8150628290836417,-4.991344260561533e-15,2.37712770409243e-14,2.4289650670271388e-14,0.379754516399291,0.5163238218570642,104.07152034306449,whipping/multi-jet risk,850,0.11449213428954863
C4_oxidized_mild,mild oxidized rough tip,5,4171040.565207076,1.5614550767894144,-3.0773141406352136e-15,-6.99389577417094e-16,3.155789616110856e-15,0.3549663919013553,0.3821182895271252,77.02071773281116,asymmetric cone-jet risk,850,0.1394000099967343
C4_oxidized_moderate,moderate oxidized rough tip,5,3199780.488233158,1.1978578030720561,-6.306419668732101e-15,-3.243301543919366e-15,7.091539603144076e-15,0.3013567122714097,0.22487924241832186,45.327222299942996,stable cone-jet likely,850,0.17709894044674002
C4_oxidized_severe,severe oxidized rough tip,5,1906651.9464602482,0.7137670600244976,-5.073507635521267e-15,0.4043778984743499,0.4043778984743499,0.18791163849366901,0.07984575653765354,16.09391030212079,stable cone-jet likely,850,0.22736418104636869
