iter,phase,residual,lbe_calls,wall_seconds_raw,accepted
0,tail_residual_polish,1.930697888214426e-06,2090,0.44802725105546415,1
1,tail_residual_polish,1.8113208591546562e-06,2191,0.46761218598112464,1
2,tail_residual_polish,2.038282667158411e-06,2292,0.48725897795520723,0
3,tail_residual_polish,2.322853586687339e-06,2393,0.506983787054196,0
4,tail_residual_polish,2.44782519244457e-06,2494,0.5265967650339007,0
5,tail_residual_polish,2.4616208647376824e-06,2595,0.5463096811436117,0
6,tail_residual_polish,2.2990582230610002e-06,2696,0.5658986740745604,0
7,tail_residual_polish,1.9988384727597556e-06,2797,0.5856097170617431,0
8,cavity_short_physical_refine,2.356352954039108e-08,9780,2.263394911075011,0
9,cavity_short_physical_refine,2.3188356770113614e-08,9879,2.2832611680496484,1
10,cavity_short_physical_refine,2.128411054879471e-08,10027,2.3125684030819684,1
11,cavity_short_physical_refine,2.0364515578863853e-08,10248,2.355738454964012,1
12,cavity_short_physical_refine,1.9005953870600517e-08,10505,2.4068479670677334,1
13,cavity_short_physical_refine,1.8792284093226105e-08,10762,2.456789781106636,1
14,cavity_short_physical_refine,1.7898278490121293e-08,11019,2.5067709700670093,1
15,cavity_short_physical_refine,1.7216982254438906e-08,11152,2.53302034502849,1
