step,time,mass,min_alpha,max_alpha,tip_y,centroid_y,radial_asymmetry,max_div,potential_residual,electric_force,csf_force,curvature,conductive_current,convective_current,total_current,max_velocity,wave_y_over_di,wave_asymmetry,morphology_volume_di3
0,0,0.162907670157,0,0.0677071063566,0.865712500038,0.312877523975,0.000485503412127,0,0,0,0,0,0,0,0,0,7.03203045784,0.00104313137245,0.699039358077
1,0.0029618754779,0.162907670157,0,0.0677070932912,0.865712500038,0.312877447603,0.000485105776886,1.50664201806e-14,0,0,0.139649021557,2.51719577043,0,0,0,0.0174438284772,5.15736559901,0.0357324017228,0.699039358077
2,0.0059237509558,0.162907670157,0,0.0677070814291,0.865712500038,0.312877333533,0.000484656176336,7.23575091418e-15,0,0,0.139649480249,2.51900020127,0,0,0,0.0202537873803,5.15736277463,0.0778430040817,0.699039358077
