x,y,z,g,g0
0.00986842,0.00328947,0.348684,-2.105403e-25,0
0.00328947,0.00986842,0.348684,5.943216e-24,0
0.00657895,0.00328947,0.351974,4.162082e-24,0
0.00328947,0.00657895,0.351974,2.530233e-24,0
0.0230263,0.00328947,0.348684,-2.990751e-22,0
0.0164474,0.00986842,0.348684,-1.136388e-22,0
0.0197368,0.00328947,0.351974,2.468342e-23,0
0.0164474,0.00657895,0.351974,-8.018515e-23,0
0.0361842,0.00328947,0.348684,-3.443055e-21,0
0.0296053,0.00986842,0.348684,-7.047411e-22,0
0.0328947,0.00328947,0.351974,-2.301798e-22,0
0.0296053,0.00657895,0.351974,-1.666631e-21,0
0.0493421,0.00328947,0.348684,-8.72819e-21,0
0.0427632,0.00986842,0.348684,2.125075e-21,0
0.0460526,0.00328947,0.351974,-3.078652e-21,0
0.0427632,0.00657895,0.351974,-8.005657e-21,0
0.0625,0.00328947,0.348684,3.134015e-20,0
0.0559211,0.00986842,0.348684,1.420593e-20,0
0.0592105,0.00328947,0.351974,-3.396999e-21,0
0.0559211,0.00657895,0.351974,-4.777553e-21,0
0.0756579,0.00328947,0.348684,2.326031e-19,0
0.0690789,0.00986842,0.348684,-1.514113e-20,0
0.0723684,0.00328947,0.351974,4.995408e-20,0
0.0690789,0.00657895,0.351974,6.128457e-20,0
0.0888158,0.00328947,0.348684,6.191771e-19,0
0.0822368,0.00986842,0.348684,-2.082411e-19,0
0.0855263,0.00328947,0.351974,2.372138e-19,0
0.0822368,0.00657895,0.351974,2.063733e-19,0
0.101974,0.00328947,0.348684,9.527458e-19,0
0.0953947,0.00986842,0.348684,-5.473014e-19,0
0.0986842,0.00328947,0.351974,5.22718e-19,0
0.0953947,0.00657895,0.351974,3.147844e-19,0
0.115132,0.00328947,0.348684,9.593789e-19,0
0.108553,0.00986842,0.348684,-7.454226e-19,0
0.111842,0.00328947,0.351974,7.173773e-19,0
0.108553,0.00657895,0.351974,2.65368e-19,0
0.128289,0.00328947,0.348684,6.815272e-19,0
0.121711,0.00986842,0.348684,-5.943341e-19,0
0.125,0.00328947,0.351974,6.957947e-19,0
