case,scheme,n,flux,wall,wall_spread,lsq,celld,facebvd,recon_sum,recon_stage,recon_spread,celld_spread
2cyl,s1,2,1,453.9,0.24234412866270605,63965,92989,114235,271356,313942,1.5617859933076843,1.1786340319822775
2cyl,s2,2,1,378.9,3.0614937978358467,67291,29807,96476,193574,232621,5.275501875251842,4.351326869527292
deform,s1,2,-1,229.2,4.930191972076794,80231,27607,35167,143006,143006,5.599765044823294,4.335856847900895
deform,s2,2,-1,202.4,3.063241106719362,74743,8970,30648,114577,114577,5.337022264503347,1.137123745819398
sphere,s1,2,1,389.7,1.5909674108288399,69472,65708,94057,229237,263881,3.350680736530316,1.9282279174529737
sphere,s2,2,1,346.6,9.694171956145402,60965,26435,85544,175871,213742,19.857168037936898,4.448647626253074
