case,dim,npair,kernel,ctl,ctl_lo,ctl_hi,stage,recon,solver,solver_lo,solver_hi,stage_raw,solver_raw
leveque,2D,3,14.4,0.9380726698262243,0.9104080818822279,1.027669475537668,1.4337450649869024,1.2732738785504596,1.2383751419438607,1.2220214141697674,1.267132740335355,1.3518733101583622,1.1536078876188816
shockmixing,2D,3,14.4,0.9184549356223176,0.8307506590130816,0.9798567350675931,1.9835503414799962,1.3417790775218637,,,,1.8624760689215059,
shockvortex,2D,3,14.4,0.8334453078453989,0.6713833201350393,1.069929057477921,1.611719760818206,1.192526837681863,1.1736354630117565,1.096191003600009,1.2485900614464729,1.5451490356516657,1.0406315281349612
mach3,2D,2,14.4,0.9118700259940902,0.8650445926054204,0.9586954593827599,1.1538061609387789,1.0510171206900285,1.0499095305759385,1.0425002479599732,1.0573188131919038,1.0507549740827278,0.9570340880681323
config3,2D,3,14.4,1.146327831630425,0.8710822482496892,1.3540278227110965,1.7142468159528155,1.268465913071554,1.3521671705455869,1.2566350018536887,1.4463549286208093,2.010239013107171,1.440515676825834
doublemach,2D,3,14.4,0.921311334770961,0.699459888315889,0.9915245500236264,1.1252845440538586,1.039187274279619,1.0389367726601404,1.0173543233563338,1.0505842825579528,1.073201832684038,0.9679152076528599
deform,3D,2,80.0,1.0636168300588889,1.0538087240033591,1.0734249361144188,1.5186780631192462,1.1750458859158417,1.0745029545908553,1.0549513329667697,1.094054576214941,1.6147954248044794,1.1426676620723892
sphere,3D,2,80.0,0.9440598804352864,0.7485806810706876,1.1395390797998852,1.5820079481317801,1.3226229794092086,1.188848037518337,0.9866715908477773,1.3910244841888966,1.422772604251841,1.0828224462297458
2cyl,3D,2,80.0,0.9560245919441785,0.9122869571418384,0.9997622267465188,1.675343507146826,1.4418258674159414,1.2377131323541244,1.1982263155122805,1.2771999491959682,1.6005620263921942,1.1815571323282674
