case_id,label,difficulty,screening_cae,screening_offset,plume_divergence_proxy_deg,field_enhancement,high_field_offset_um,reduced_final_offset,reduced_offset_growth,reduced_max_pass_metric,reduced_class,campaign_score
C3_split_010Do,split/notched tip d=0.10Do,4,0.45293583240269897,0.07098799473470552,22.301313502259127,1.8150628290836417,2.4289650670271388e-14,0.1272911729916509,1.7442078294691121,0.0007366665281517415,whipping-growth candidate,0.801169
C1_bent_10deg,10 deg bent tip,2,0.21088943116992095,0.06410298533511083,13.292358240213298,1.820090855613289,57.14007177547265,0.08506594091058772,1.503033867479822,0.00032624993845342676,whipping-growth candidate,0.788897
C2_bump_010Do,single bump h=0.10Do,3,0.32951473620300153,0.04487173697021307,12.867624203530621,2.4013620187001035,4.063172351149289,0.07576095330621774,1.5505033063677465,0.00029659081605459825,whipping-growth candidate,0.631373
C3_split_005Do,split/notched tip d=0.05Do,4,0.298467473781211,0.0566667950905021,13.736376993202636,1.8150628290836417,2.4289650670271388e-14,0.08709034414757102,1.5388031376959699,0.00034931241289470893,whipping-growth candidate,0.628039
C4_oxidized_severe,severe oxidized rough tip,5,0.2648655905745887,0.06410298563704186,13.812653946555628,0.7137670600244976,0.4043778984743499,0.08852031465357305,1.5640693497311415,0.000365624922700869,whipping-growth candidate,0.560900
C1_bent_5deg,5 deg bent tip,2,0.18280427505692323,0.03205131131830008,7.82615735819601,1.804298789494453,29.434674671977593,0.0495383882348945,1.4252106502473427,0.00016099994930873773,asymmetric-growth candidate,0.529929
C4_oxidized_moderate,moderate oxidized rough tip,5,0.20726907901472982,0.04487173664776867,9.72460839773224,1.1978578030720561,7.091539603144076e-15,0.06725605240422784,1.376444290563584,0.0002038635778425224,whipping-growth candidate,0.476876
C3_split_002Do,split/notched tip d=0.02Do,4,0.21822417060121727,0.032051311442522934,7.8261573731027525,1.8150628290836417,2.4289650670271388e-14,0.05094691619087495,1.4657337499193748,0.00017592851091496886,asymmetric-growth candidate,0.458646
C2_bump_005Do,single bump h=0.05Do,3,0.23710955738479,0.019230653880535575,5.927678465664269,2.1563930753927116,6.2642500472158895,0.03193889610880384,1.7169941801402395,0.00012186023074134411,asymmetric-growth candidate,0.437868
C2_bump_002Do,single bump h=0.02Do,3,0.18963749384334458,0.019230653624008,5.38767843488096,2.1563930753927116,6.2642500472158895,0.026273701296040466,1.4124405571928844,7.255877284317869e-05,asymmetric-growth candidate,0.406375
C1_bent_2deg,2 deg bent tip,2,0.16626976629620185,0.019230653497733896,5.387678419728068,1.8687957502572305,8.066145693913903,0.025753686131753682,1.3844852074643457,6.792642614839028e-05,stable reduced response,0.384528
C4_oxidized_mild,mild oxidized rough tip,5,0.18280427505692323,0.01923065358708298,5.747678430449957,1.5614550767894144,3.155789616110856e-15,0.028833948539513776,1.5500761724561196,9.505877466975399e-05,asymmetric-growth candidate,0.355237
C0_normal,normal sharp tip,1,0.15672520152342526,2.3551386880256624e-16,2.5400000000000285,1.8039529242517534,0.9820377166750216,0.02192882620621461,1.1788656328356542,3.285289928811608e-05,stable reduced response,0.277145
