iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.0004168430919170483,1,0.0003682160750031471,0.0,1,0
1,7.466294761639645e-06,502,0.12336197518743575,0.1229937591124326,1,0
2,3.4991126332189983e-06,1003,0.24837108398787677,0.24800286791287363,1,0
3,3.0325361255334853e-06,1504,0.3719321461394429,0.3715639300644398,1,0
4,1.3257263708474982e-06,2005,0.49228620599024,0.49191798991523683,1,0
5,1.5519480709210696e-06,2506,0.610138877062127,0.6097706609871238,1,0
6,6.483771422020826e-07,3007,0.7301849140785635,0.7298166980035603,1,0
7,7.574446898454399e-07,3508,0.849301596172154,0.8489333800971508,1,0
8,3.838190897687358e-07,4009,0.9667653942015022,0.9663971781264991,1,0
9,3.598289038323468e-07,4510,1.0874309230130166,1.0870627069380134,1,0
10,2.4632866768150523e-07,5011,1.2094183301087469,1.2090501140337437,1,0
11,1.8859600248967937e-07,5512,1.3325189931783825,1.3321507771033794,1,0
12,1.7099352343983392e-07,6013,1.454016705043614,1.4536484889686108,1,0
13,1.332117936800869e-07,6514,1.5775641819927841,1.577195965917781,1,0
14,1.353525303070389e-07,7015,1.6969685880467296,1.6966003719717264,1,0
15,1.2133980544923762e-07,7516,1.8195634761359543,1.8191952600609511,1,0
16,1.2273411561221682e-07,8017,1.9408148240763694,1.9404466080013663,1,0
17,1.1888703006244653e-07,8518,2.0618093670345843,2.061441150959581,1,0
18,1.1898618242533633e-07,9019,2.1830216799862683,2.182653463911265,1,0
19,1.1821371867081973e-07,9520,2.3071914149913937,2.3068231989163905,1,0
20,1.1808654103093683e-07,10021,2.4267390621826053,2.426370846107602,1,0
21,1.1792458717080474e-07,10522,2.5449634881224483,2.544595272047445,1,0
22,1.1780651294016583e-07,11023,2.6626794941257685,2.6623112780507654,1,0
23,1.177610132868373e-07,11524,2.7816288201138377,2.7812606040388346,1,0
24,1.1769774063496255e-07,12025,2.8991479841060936,2.8987797680310905,1,0
25,1.1765674141564997e-07,12526,3.019795752130449,3.0194275360554457,1,0
26,1.1760463350322985e-07,13027,3.1386328381486237,3.1382646220736206,1,0
27,1.1756308202783031e-07,13528,3.260789259104058,3.260421043029055,1,0
28,1.1752062487968508e-07,14029,3.3831233270466328,3.3827551109716296,1,0
29,1.1747906397159166e-07,14530,3.5057018361985683,3.505333620123565,1,0
30,1.1743633335556704e-07,15031,3.628764746012166,3.628396529937163,1,0
31,1.1739413674562409e-07,15532,3.7477771129924804,3.7474088969174773,1,0
32,1.1735248824660307e-07,16033,3.8672929310705513,3.866924714995548,1,0
33,1.1731083398527358e-07,16534,3.9874156760051847,3.9870474599301815,1,0
34,1.1726898299969964e-07,17035,4.105241151060909,4.104872934985906,1,0
35,1.1722709790902455e-07,17536,4.224415875039995,4.224047658964992,1,0
36,1.1718536085918158e-07,18037,4.343002387089655,4.342634171014652,1,0
37,1.1714367853477731e-07,18538,4.462684099096805,4.462315883021802,1,0
38,1.1710196588893557e-07,19039,4.582436194177717,4.582067978102714,1,0
39,1.1706023535142551e-07,19540,4.702153102029115,4.701784885954112,1,0
40,1.1701853872350075e-07,20041,4.820802925154567,4.820434709079564,1,0
41,1.1697687676443521e-07,20542,4.940668335184455,4.940300119109452,1,0
42,1.16935224930975e-07,21043,5.0614318021107465,5.061063586035743,1,0
43,1.1689357714348265e-07,21544,5.180393052985892,5.1800248369108886,1,0
44,1.1685194441168087e-07,22045,5.299576004035771,5.299207787960768,1,0
45,1.1681033202428451e-07,22546,5.41952124517411,5.419153029099107,1,0
46,1.1676873551421832e-07,23047,5.538550705183297,5.538182489108294,1,0
47,1.1672715132254481e-07,23548,5.658393974183127,5.658025758108124,1,0
48,1.166855809014144e-07,24049,5.7772272140719,5.7768589979968965,1,0
49,1.1664402632980076e-07,24550,5.89859511400573,5.898226897930726,1,0
50,1.1660248729624253e-07,25051,6.019760612165555,6.019392396090552,1,0
51,1.165609626938488e-07,25552,6.139584464021027,6.139216247946024,1,0
52,1.1651945243611574e-07,26053,6.259805648121983,6.25943743204698,1,0
53,1.1647795705300123e-07,26554,6.3802462259773165,6.379878009902313,1,0
54,1.1643647668810162e-07,27055,6.498801993206143,6.49843377713114,1,0
55,1.1639501110069819e-07,27556,6.616528823040426,6.616160606965423,1,0
56,1.1635356016122791e-07,28057,6.736928484169766,6.736560268094763,1,0
57,1.1631212395654045e-07,28558,6.858996949158609,6.858628733083606,1,0
58,1.162707025615459e-07,29059,6.980653867125511,6.980285651050508,1,0
59,1.1622929594362788e-07,29560,7.102645576000214,7.1022773599252105,1,0
60,1.1618790404918351e-07,30061,7.222143633989617,7.221775417914614,1,0
61,1.1614652687813187e-07,30562,7.340675808023661,7.340307591948658,1,0
62,1.1610516445053651e-07,31063,7.457579143112525,7.457210927037522,1,0
63,1.160638167624994e-07,31564,7.575516822980717,7.575148606905714,1,0
64,1.1602248379811024e-07,32065,7.69412852707319,7.6937603109981865,1,0
65,1.1598116554739555e-07,32566,7.813591719139367,7.813223503064364,1,0
66,1.1593986201129429e-07,33067,7.93332486320287,7.932956647127867,1,0
67,1.1589857318639438e-07,33568,8.052045904099941,8.051677688024938,1,0
68,1.1585729906628008e-07,34069,8.171133628115058,8.170765412040055,1,0
69,1.1581603964336178e-07,34570,8.290011135162786,8.289642919087783,1,0
70,1.1577479491422778e-07,35071,8.410315758083016,8.409947542008013,1,0
71,1.1573356487370091e-07,35572,8.529148329049349,8.528780112974346,1,0
72,1.1569234951671286e-07,36073,8.650488279061392,8.650120062986389,1,0
73,1.1565114883535639e-07,36574,8.768704888178036,8.768336672103032,1,0
74,1.1560996282736713e-07,37075,8.888719424139708,8.888351208064705,1,0
75,1.1556879148756126e-07,37576,9.007743639172986,9.007375423097983,1,0
76,1.155276348095348e-07,38077,9.130947310011834,9.13057909393683,1,0
77,1.1548649278803172e-07,38578,9.253053996013477,9.252685779938474,1,0
78,1.1544536541832395e-07,39079,9.374778544064611,9.374410327989608,1,0
79,1.154042526944306e-07,39580,9.4928321801126,9.492463964037597,1,0
80,1.1536315461235756e-07,40081,9.61107267998159,9.610704463906586,1,0
81,1.1532207116596591e-07,40582,9.729188984027132,9.72882076795213,1,0
82,1.1528100234979417e-07,41083,9.84810041403398,9.847732197958976,1,0
