iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.0004895694012443503,1,0.0008824060205370188,0.0,1,0
1,1.8570808086252993e-05,33,0.027588411001488566,0.026706004980951548,1,0
2,1.1271528977409216e-05,65,0.05131198395974934,0.05042957793921232,1,0
3,8.139373707015399e-06,97,0.07399966986849904,0.07311726384796202,1,0
4,7.723489275124165e-06,129,0.09612933197058737,0.09524692595005035,1,0
5,7.3113592242239906e-06,161,0.11837176699191332,0.1174893609713763,1,0
6,6.3013608924224665e-06,193,0.14049081900157034,0.13960841298103333,1,0
7,5.143406035925936e-06,225,0.16238458594307303,0.16150217992253602,1,0
8,3.9087458964513805e-06,257,0.18417589995078743,0.1832934939302504,1,0
9,3.788563407629881e-06,289,0.20660184090957046,0.20571943488903344,1,0
10,4.039911355318324e-06,321,0.2286497289314866,0.2277673229109496,1,0
11,4.100178659716408e-06,353,0.25092278188094497,0.25004037586040795,1,0
12,3.7330461467292958e-06,385,0.2729196338914335,0.27203722787089646,1,0
13,2.603036613134684e-06,417,0.295017956988886,0.294135550968349,1,0
14,2.717908297966284e-06,449,0.31701416801661253,0.3161317619960755,1,0
15,2.951215694371782e-06,481,0.33937747101299465,0.33849506499245763,1,0
16,3.2048342112123045e-06,513,0.3606509268283844,0.3597685208078474,1,0
17,3.414359465895044e-06,545,0.382470843847841,0.381588437827304,1,0
18,3.409875234813599e-06,577,0.40453243791125715,0.40365003189072013,1,0
19,2.758220292143315e-06,609,0.42504452588036656,0.42416211985982955,1,0
20,2.1601439766927088e-06,641,0.4452381518203765,0.4443557457998395,1,0
21,2.124024286895319e-06,673,0.46614839183166623,0.4652659858111292,1,0
22,2.239430558998925e-06,705,0.4863229519687593,0.4854405459482223,1,0
23,2.2952796313599303e-06,737,0.5069812058936805,0.5060987998731434,1,0
24,2.250641093571229e-06,769,0.5277254020329565,0.5268429960124195,1,0
25,1.727466688109349e-06,801,0.5475620739161968,0.5466796678956598,1,0
26,1.509219734045827e-06,833,0.5680243270471692,0.5671419210266322,1,0
27,1.5883471203579508e-06,865,0.5889094090089202,0.5880270029883832,1,0
28,1.7205783404159329e-06,897,0.6091490120161325,0.6082666059955955,1,0
29,1.8451107885891098e-06,929,0.6290745618753135,0.6281921558547765,1,0
30,2.0025590427172285e-06,961,0.6488785019610077,0.6479960959404707,1,0
31,2.121748627264039e-06,993,0.6685435809195042,0.6676611748989671,1,0
32,2.1046126215431557e-06,1025,0.689180564833805,0.688298158813268,1,0
33,1.5658762894493884e-06,1057,0.7103675368707627,0.7094851308502257,1,0
