iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,wall_seconds_monotone,accepted,phase
0,0.15186090025689805,1,1e-06,1e-06,0.0,1,0
1,1.9136537181911486e-05,252503,95.46706404798897,95.46706404798897,95.46706304798897,1,0
2,1.8845813418992017e-05,260696,96.2927824449871,96.2927824449871,96.2927814449871,1,0
3,1.8559506354355848e-05,268889,97.12067016999936,97.12067016999936,97.12066916999936,1,0
4,1.827754888911165e-05,277082,97.96343028199044,97.96343028199044,97.96342928199044,1,0
5,1.7999874943449026e-05,285275,98.80626349098748,98.80626349098748,98.80626249098748,1,0
6,1.7726419442013727e-05,293468,99.64969161398767,99.64969161398767,99.64969061398767,1,0
7,1.7457118298008182e-05,301661,100.49460021499544,100.49460021499544,100.49459921499545,1,0
8,1.7191908397746918e-05,309854,101.33853852999164,101.33853852999164,101.33853752999164,1,0
9,1.693072758701427e-05,318047,102.18445020199579,102.18445020199579,102.18444920199579,1,0
10,1.6673514655439513e-05,326240,103.02886483600014,103.02886483600014,103.02886383600014,1,0
11,1.6420209322829007e-05,334433,103.87350470198726,103.87350470198726,103.87350370198726,1,0
12,1.6170752224498053e-05,342626,104.72046934798709,104.72046934798709,104.7204683479871,1,0
13,1.5925084897843388e-05,350819,105.56649479299085,105.56649479299085,105.56649379299085,1,0
14,1.5683149768264633e-05,359012,106.4088920209906,106.4088920209906,106.40889102099061,1,0
15,1.5444890136085812e-05,367205,107.25407048499619,107.25407048499619,107.2540694849962,1,0
16,1.5210250162811415e-05,375398,108.12039291199471,108.12039291199471,108.12039191199472,1,0
17,1.4979174858285922e-05,383591,108.99548934798804,108.99548934798804,108.99548834798804,1,0
18,1.47516100677933e-05,391784,109.86796512099681,109.86796512099681,109.86796412099682,1,0
19,1.4527502459230381e-05,399977,110.74226354699931,110.74226354699931,110.74226254699931,1,0
20,1.4306799510853902e-05,408170,111.61487066299014,111.61487066299014,111.61486966299015,1,0
21,1.408944949893417e-05,416363,112.48469076699985,112.48469076699985,112.48468976699985,1,0
22,1.3875401485309825e-05,424556,113.32528553399607,113.32528553399607,113.32528453399607,1,0
23,1.366460530581581e-05,432749,114.16513283200038,114.16513283200038,114.16513183200038,1,0
24,1.3457011558286255e-05,440942,115.00706255799741,115.00706255799741,115.00706155799742,1,0
25,1.3252571590825677e-05,449135,115.84143945199321,115.84143945199321,115.84143845199321,1,0
26,1.3051237491522676e-05,457328,116.67306252098933,116.67306252098933,116.67306152098934,1,0
27,1.2852962075560597e-05,465521,117.50060499399842,117.50060499399842,117.50060399399842,1,0
28,1.265769887513418e-05,473714,118.3284772989864,118.3284772989864,118.3284762989864,1,0
29,1.2465402128356876e-05,481907,119.15667711298738,119.15667711298738,119.15667611298738,1,0
30,1.2276026768885471e-05,490100,119.98710505999043,119.98710505999043,119.98710405999043,1,0
31,1.2089528414530362e-05,498293,120.81773968299967,120.81773968299967,120.81773868299967,1,0
32,1.1905863357786237e-05,506486,121.64661231898936,121.64661231898936,121.64661131898936,1,0
33,1.1724988554735719e-05,514679,122.59927981499641,122.59927981499641,122.59927881499641,1,0
34,1.15468616158014e-05,522872,123.46233222998853,123.46233222998853,123.46233122998854,1,0
35,1.1371440795292347e-05,531065,124.30509312199138,124.30509312199138,124.30509212199138,1,0
36,1.119868498144784e-05,539258,125.14459973099292,125.14459973099292,125.14459873099293,1,0
37,1.10285536874224e-05,547451,125.98928473499836,125.98928473499836,125.98928373499837,1,0
38,1.0861007041233556e-05,555644,126.82867355798953,126.82867355798953,126.82867255798953,1,0
39,1.069600577678639e-05,563837,127.67065905699565,127.67065905699565,127.67065805699565,1,0
40,1.0533511224355131e-05,572030,128.51061534498876,128.51061534498876,128.51061434498877,1,0
41,1.0373485301837555e-05,580223,129.35033321898663,129.35033321898663,129.35033221898664,1,0
42,1.0215890505560704e-05,588416,130.1941155109962,130.1941155109962,130.1941145109962,1,0
