iter,phase,residual,lbe_calls,wall_seconds_raw,accepted
0,tail_residual_polish,1.930697888214426e-06,2090,0.4624641719274223,1
1,tail_residual_polish,1.8113208591546562e-06,2191,0.48232676507905126,1
2,tail_residual_polish,2.038282667158411e-06,2292,0.5021308860741556,0
3,tail_residual_polish,2.322853586687339e-06,2393,0.5219601460266858,0
4,tail_residual_polish,2.44782519244457e-06,2494,0.5416782258544117,0
5,tail_residual_polish,2.4616208647376824e-06,2595,0.5618081530556083,0
6,tail_residual_polish,2.2990582230610002e-06,2696,0.5814858970697969,0
7,tail_residual_polish,1.9988384727597556e-06,2797,0.6013115500099957,0
8,cavity_short_physical_refine,2.356352954039108e-08,9780,2.529204862890765,0
9,cavity_short_physical_refine,2.3188356770113614e-08,9879,2.5503093309234828,1
10,cavity_short_physical_refine,2.128411054879471e-08,10027,2.5808674988802522,1
11,cavity_short_physical_refine,2.0364515578863853e-08,10248,2.6302820569835603,1
12,cavity_short_physical_refine,1.9005953870600517e-08,10505,2.686437000054866,1
13,cavity_short_physical_refine,1.8792284093226105e-08,10762,2.742117472924292,1
14,cavity_short_physical_refine,1.7898278490121293e-08,11019,2.7978351060301065,1
15,cavity_short_physical_refine,1.7216982254438906e-08,11152,2.830240041948855,1
