step,time,transverse_centroid_offset,transverse_rms_radius,max_electric_field,max_capillary_acceleration,pass_metric,gas_charge_leakage_fraction,vof_mass_relative_error,divergence_reduction_ratio
0.0,0.0,0.07297936108358989,0.19260907372206917,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.001,0.07351913263902643,0.19295094260182144,0.007415179523400638,0.0,0.0007366665281517415,0.0,-0.0007366665281517415,1.0
2.0,0.002,0.0740596149756904,0.19329062472022754,0.007411605872529707,0.0,0.0007332358849418963,0.0,-0.0007332358849418963,1.0
3.0,0.003,0.07460076059174214,0.19362812550401926,0.007408417495458924,0.0,0.0007299153435638139,0.0,-0.0007299153435638139,1.0
4.0,0.004,0.0751425400494894,0.1939634554771281,0.007405238146665653,0.0,0.0007265836753891364,0.0,-0.0007265836753891364,1.0
5.0,0.005,0.07568492464010211,0.19429662505453782,0.007402067745193828,0.0,0.000723241034962574,0.0,-0.000723241034962574,1.0
6.0,0.006,0.07622788635932834,0.19462764454411322,0.007398906212955611,0.0,0.0007198875779692582,0.0,-0.0007198875779692582,1.0
7.0,0.007,0.07677139788437588,0.1949565241487987,0.007395753474637276,0.0,0.0007165234601881343,0.0,-0.0007165234601881343,1.0
8.0,0.008,0.07731543255170437,0.19528327396890974,0.007392609457597321,0.0,0.0007131488371273642,0.0,-0.0007131488371273642,1.0
9.0,0.009000000000000001,0.07785996433565878,0.19560790400443195,0.0073894740917646575,0.0,0.000709763863877666,0.0,-0.000709763863877666,1.0
10.0,0.01,0.07840496782787264,0.19593042415729586,0.007386347309539353,0.0,0.000706368695038595,0.0,-0.000706368695038595,1.0
11.0,0.011,0.07895041821742636,0.196250844233615,0.007383229045696616,0.0,0.0007029634846797972,0.0,-0.0007029634846797972,1.0
12.0,0.012,0.07949629127170851,0.19656917394588005,0.007380119237294394,0.0,0.0006995483863194707,0.0,-0.0006995483863194707,1.0
13.0,0.013000000000000001,0.08004256331796947,0.19688542291510833,0.007377017823584532,0.0,0.0006961235529110432,0.0,-0.0006961235529110432,1.0
14.0,0.014,0.08058921122553298,0.19719960067294606,0.007373924745927514,0.0,0.0006926891368339572,0.0,-0.0006926891368339572,1.0
15.0,0.015,0.08113621238864335,0.19751171666372472,0.007370839947710624,0.0,0.0006892452898894508,0.0,-0.0006892452898894508,1.0
16.0,0.016,0.0816835447099245,0.19782178024647115,0.0073677633742693606,0.0,0.0006857921632940078,0.0,-0.0006857921632940078,1.0
17.0,0.017,0.08223118658442885,0.19812980069687208,0.007364694972812219,0.0,0.0006823299076782474,0.0,-0.0006823299076782474,1.0
18.0,0.018000000000000002,0.08277911688425486,0.19843578720919436,0.007361634692348296,0.0,0.0006788586730840374,0.0,-0.0006788586730840374,1.0
19.0,0.019,0.08332731494371173,0.19873974889816112,0.007358582483617982,0.0,0.0006753786089628289,0.0,-0.0006753786089628289,1.0
20.0,0.02,0.08387576054501042,0.19904169480078546,0.007355538299026411,0.0,0.0006718898641737692,0.0,-0.0006718898641737692,1.0
21.0,0.021,0.08442443390446332,0.19934163387816187,0.0073525020925795164,0.0,0.0006683925869827023,0.0,-0.0006683925869827023,1.0
22.0,0.022,0.08497331565917644,0.19963957501721682,0.007349473819822766,0.0,0.0006648869250618361,0.0,-0.0006648869250618361,1.0
23.0,0.023,0.08552238685420507,0.1999355270324192,0.007346453437782253,0.0,0.0006613730254874106,0.0,-0.0006613730254874106,1.0
24.0,0.024,0.08607162893017105,0.20022949866745174,0.007343440904908173,0.0,0.000657851034738588,0.0,-0.000657851034738588,1.0
25.0,0.025,0.08662102371131614,0.20052149859684376,0.007340436181020545,0.0,0.0006543210986987846,0.0,-0.0006543210986987846,1.0
26.0,0.026000000000000002,0.08717055339397141,0.20081153542756686,0.007337439227256987,0.0,0.0006507833626521187,0.0,-0.0006507833626521187,1.0
27.0,0.027,0.08772020053543998,0.2010996177005938,0.007334450006022708,0.0,0.0006472379712849641,0.0,-0.0006472379712849641,1.0
28.0,0.028,0.0882699480432656,0.2013857538924218,0.007331468480942281,0.0,0.0006436850686830642,0.0,-0.0006436850686830642,1.0
29.0,0.029,0.08881977916487799,0.2016699524165604,0.007328494616813408,0.0,0.0006401247983317537,0.0,-0.0006401247983317537,1.0
30.0,0.03,0.08936967747760334,0.2019522216249861,0.007325528379562497,0.0,0.0006365573031155147,0.0,-0.0006365573031155147,1.0
31.0,0.031,0.08991962687902348,0.2022325698095624,0.007322569736201773,0.0,0.0006329827253169773,0.0,-0.0006329827253169773,1.0
32.0,0.032,0.09046961157766957,0.20251100520342816,0.007319618654788372,0.0,0.0006294012066149213,0.0,-0.0006294012066149213,1.0
33.0,0.033,0.0910196160840407,0.20278753598235383,0.0073166751043846215,0.0,0.0006258128880858305,0.0,-0.0006258128880858305,1.0
34.0,0.034,0.09156962520193863,0.2030621702660657,0.007313739055020182,0.0,0.00062221791020034,0.0,-0.00062221791020034,1.0
35.0,0.035,0.09211962402009614,0.20333491611954096,0.007310810477655335,0.0,0.0006186164128249017,0.0,-0.0006186164128249017,1.0
36.0,0.036000000000000004,0.09266959790410192,0.20360578155427164,0.007307889344145937,0.0,0.0006150085352184531,0.0,-0.0006150085352184531,1.0
37.0,0.037,0.09321953248860067,0.20387477452950026,0.007304975627209476,0.0,0.0006113944160356377,0.0,-0.0006113944160356377,1.0
38.0,0.038,0.09376941366976395,0.20414190295342644,0.007302069300392559,0.0,0.0006077741933209202,0.0,-0.0006077741933209202,1.0
39.0,0.039,0.09431922759801878,0.20440717468438566,0.007299170338039498,0.0,0.0006041480045103631,0.0,-0.0006041480045103631,1.0
40.0,0.04,0.09486896067103073,0.20467059753200093,0.007296278715262217,0.0,0.000600515986432959,0.0,-0.000600515986432959,1.0
41.0,0.041,0.09541859952691688,0.20493217925830745,0.007293394407911125,0.0,0.0005968782753048574,0.0,-0.0005968782753048574,1.0
42.0,0.042,0.09596813103770471,0.2051919275788512,0.007290517392547185,0.0,0.0005932350067321401,0.0,-0.0005932350067321401,1.0
43.0,0.043000000000000003,0.09651754230300381,0.2054498501637622,0.007287647646414943,0.0,0.0005895863157100445,0.0,-0.0005895863157100445,1.0
44.0,0.044,0.09706682064389682,0.20570595463880192,0.007284785147416616,0.0,0.000585932336618411,0.0,-0.000585932336618411,1.0
45.0,0.045,0.09761595359703938,0.2059602485863875,0.00728192987408713,0.0,0.0005822732032266797,0.0,-0.0005822732032266797,1.0
46.0,0.046,0.0981649289089576,0.2062127395465907,0.007279081805569947,0.0,0.0005786090486874507,0.0,-0.0005786090486874507,1.0
47.0,0.047,0.09871373453053812,0.2064634350181141,0.007276240921594028,0.0,0.0005749400055389264,0.0,-0.0005749400055389264,1.0
48.0,0.048,0.09926235861170807,0.20671234245924394,0.007273407202451341,0.0,0.0005712662057023588,0.0,-0.0005712662057023588,1.0
49.0,0.049,0.09981078949628969,0.2069594692887809,0.007270580628975469,0.0,0.0005675877804837137,0.0,-0.0005675877804837137,1.0
50.0,0.05,0.10035901571703053,0.2072048228869484,0.007267761182520708,0.0,0.0005639048605690089,0.0,-0.0005639048605690089,1.0
51.0,0.051000000000000004,0.10090702599079927,0.20744841059627944,0.007264948844942191,0.0,0.0005602175760266448,0.0,-0.0005602175760266448,1.0
52.0,0.052000000000000005,0.1014548092139418,0.20769023972248257,0.007262143598576589,0.0,0.0005565260563048513,0.0,-0.0005565260563048513,1.0
53.0,0.053,0.10200235445779436,0.2079303175352868,0.0072593454262234545,0.0,0.0005528304302320208,0.0,-0.0005528304302320208,1.0
54.0,0.054,0.10254965096434297,0.20816865126926656,0.007256554311127429,0.0,0.0005491308260144878,0.0,-0.0005491308260144878,1.0
55.0,0.055,0.10309668814203023,0.20840524812464664,0.007253770236960826,0.0,0.0005454273712367508,0.0,-0.0005454273712367508,1.0
56.0,0.056,0.1036434555616976,0.2086401152680877,0.0072509931878070605,0.0,0.000541720192859807,0.0,-0.000541720192859807,1.0
57.0,0.057,0.10418994295266587,0.20887325983345278,0.007248223148144595,0.0,0.0005380094172214855,0.0,-0.0005380094172214855,1.0
58.0,0.058,0.10473614019894159,0.20910468892255546,0.007245460102831373,0.0,0.00053429517003456,0.0,-0.00053429517003456,1.0
59.0,0.059000000000000004,0.10528203733554914,0.20933440960588906,0.007242704037089926,0.0,0.00053057757638586,0.0,-0.00053057757638586,1.0
60.0,0.06,0.10582762454498429,0.20956242892333857,0.007239954936492969,0.0,0.0005268567607360497,0.0,-0.0005268567607360497,1.0
61.0,0.061,0.1063728921537845,0.2097887538848748,0.007237212786949466,0.0,0.0005231328469189611,0.0,-0.0005231328469189611,1.0
62.0,0.062,0.10691783062920732,0.21001339147123155,0.007234477574691191,0.0,0.000519405958139707,0.0,-0.000519405958139707,1.0
63.0,0.063,0.10746243057602087,0.2102363486345653,0.007231749286259846,0.0,0.0005156762169745699,0.0,-0.0005156762169745699,1.0
64.0,0.064,0.10800668273339893,0.21045763229909953,0.007229027908494532,0.0,0.0005119437453713349,0.0,-0.0005119437453713349,1.0
65.0,0.065,0.10855057797191389,0.2106772493617517,0.0072263134285196874,0.0,0.0005082086646454043,0.0,-0.0005082086646454043,1.0
66.0,0.066,0.10909410729062856,0.21089520669274522,0.007223605833733458,0.0,0.0005044710954829057,0.0,-0.0005044710954829057,1.0
67.0,0.067,0.1096372618142822,0.21111151113620552,0.0072209051117965726,0.0,0.0005007311579366958,0.0,-0.0005007311579366958,1.0
68.0,0.068,0.11018003279056707,0.21132616951074093,0.007218211250621329,0.0,0.0004969889714265818,0.0,-0.0004969889714265818,1.0
69.0,0.069,0.11072241158749216,0.21153918861000895,0.0072155242383612865,0.0,0.0004932446547404323,0.0,-0.0004932446547404323,1.0
70.0,0.07,0.11126438969083023,0.21175057520326723,0.007212844063401112,0.0,0.0004894983260307351,0.0,-0.0004894983260307351,1.0
