step,time,transverse_centroid_offset,transverse_rms_radius,max_electric_field,max_capillary_acceleration,pass_metric,gas_charge_leakage_fraction,vof_mass_relative_error,divergence_reduction_ratio
0.0,0.0,0.05659615711335907,0.1918251156652851,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.001,0.05690621089250177,0.1920256472091378,0.005599877159777659,0.0,0.000365624922700869,0.0,-0.000365624922700869,1.0
2.0,0.002,0.05721671913471837,0.19222541834558474,0.0055985864468239025,0.0,0.0003646553005072217,0.0,-0.0003646553005072217,1.0
3.0,0.003,0.0575276499498522,0.19242442461360712,0.005597665802553709,0.0,0.0003638081268271254,0.0,-0.0003638081268271254,1.0
4.0,0.004,0.05783899220356419,0.1926226684790483,0.00559674559886567,0.0,0.00036295830476007485,0.0,-0.00036295830476007485,1.0
5.0,0.005,0.05815073498430529,0.1928201523917289,0.005595825834091713,0.0,0.00036210585033547016,0.0,-0.00036210585033547016,1.0
6.0,0.006,0.05846286759774003,0.1930168787852181,0.005594906506674458,0.0,0.00036125078062909655,0.0,-0.00036125078062909655,1.0
7.0,0.007,0.058775379561503825,0.19321285007685224,0.005593987615172145,0.0,0.0003603931131297422,0.0,-0.0003603931131297422,1.0
8.0,0.008,0.059088260600170486,0.1934080686678464,0.00559306915825885,0.0,0.0003595328655092711,0.0,-0.0003595328655092711,1.0
9.0,0.009000000000000001,0.05940150064035879,0.1936025369434464,0.005592151134722906,0.0,0.00035867005551881714,0.0,-0.00035867005551881714,1.0
10.0,0.01,0.05971508980598527,0.19379625727310004,0.005591233543464528,0.0,0.0003578047009402674,0.0,-0.0003578047009402674,1.0
11.0,0.011,0.06002901841363252,0.19398923201063797,0.00559031638349297,0.0,0.0003569368195573963,0.0,-0.0003569368195573963,1.0
12.0,0.012,0.06034327696804004,0.19418146349445864,0.00558939965392355,0.0,0.0003560664291413218,0.0,-0.0003560664291413218,1.0
13.0,0.013000000000000001,0.06065785615770406,0.1943729540477152,0.005588483353974729,0.0,0.0003551935474397361,0.0,-0.0003551935474397361,1.0
14.0,0.014,0.060972746850590266,0.19456370597850253,0.005587567482964935,0.0,0.0003543181921703553,0.0,-0.0003543181921703553,1.0
15.0,0.015,0.06128794008995208,0.1947537215800436,0.00558665204030963,0.0,0.00035344038101836617,0.0,-0.00035344038101836617,1.0
16.0,0.016,0.06160342709024999,0.1949430031308744,0.005585737025518374,0.0,0.0003525601316320959,0.0,-0.0003525601316320959,1.0
17.0,0.017,0.061919199233177104,0.19513155289502743,0.005584822438191869,0.0,0.0003516774616211249,0.0,-0.0003516774616211249,1.0
18.0,0.018000000000000002,0.062235248063777525,0.19531937312221329,0.005583908278019154,0.0,0.00035079238855639794,0.0,-0.00035079238855639794,1.0
19.0,0.019,0.0625515652866663,0.19550646604800007,0.005582994544774801,0.0,0.00034990492996722633,0.0,-0.00034990492996722633,1.0
20.0,0.02,0.0628681427623386,0.1956928338939909,0.00558208123831627,0.0,0.0003490151033416211,0.0,-0.0003490151033416211,1.0
21.0,0.021,0.06318497250357219,0.1958784788679992,0.005581168358581214,0.0,0.000348122926126182,0.0,-0.000348122926126182,1.0
22.0,0.022,0.06350204667192277,0.19606340316422183,0.005580255905584995,0.0,0.00034722841572421004,0.0,-0.00034722841572421004,1.0
23.0,0.023,0.06381935757429841,0.19624760896341015,0.005579343879418102,0.0,0.0003463315894971508,0.0,-0.0003463315894971508,1.0
24.0,0.024,0.06413689765962562,0.1964310984330384,0.00557843228024379,0.0,0.0003454324647624851,0.0,-0.0003454324647624851,1.0
25.0,0.025,0.06445465951559688,0.1966138737274707,0.005577521108295706,0.0,0.0003445310587950612,0.0,-0.0003445310587950612,1.0
26.0,0.026000000000000002,0.06477263586549864,0.196795936988125,0.005576610363875617,0.0,0.00034362738882709465,0.0,-0.00034362738882709465,1.0
27.0,0.027,0.065090819565116,0.1969772903436358,0.00557570004735115,0.0,0.0003427214720466143,0.0,-0.0003427214720466143,1.0
28.0,0.028,0.0654092035997175,0.19715793591001377,0.005574790159153634,0.0,0.00034181332559801714,0.0,-0.00034181332559801714,1.0
29.0,0.029,0.06572778108111384,0.19733787579080392,0.0055738806997760165,0.0,0.0003409029665829566,0.0,-0.0003409029665829566,1.0
30.0,0.03,0.06604654524479048,0.19751711207724174,0.005572971669770808,0.0,0.00033999041205989844,0.0,-0.00033999041205989844,1.0
31.0,0.031,0.06636548944710628,0.19769564684840638,0.00557206306974809,0.0,0.00033907567904223335,0.0,-0.00033907567904223335,1.0
32.0,0.032,0.06668460716257264,0.19787348217137313,0.005571154900373596,0.0,0.0003381587845014966,0.0,-0.0003381587845014966,1.0
33.0,0.033,0.06700389198118652,0.1980506201013627,0.005570247162366811,0.0,0.00033723974536459256,0.0,-0.00033723974536459256,1.0
34.0,0.034,0.06732333760584366,0.19822706268188928,0.005569339856499157,0.0,0.00033631857851623703,0.0,-0.00033631857851623703,1.0
35.0,0.035,0.06764293784980133,0.19840281194490608,0.005568432983592255,0.0,0.00033539530079607083,0.0,-0.00033539530079607083,1.0
36.0,0.036000000000000004,0.06796268663421896,0.1985778699109495,0.005567526544516142,0.0,0.0003344699290012132,0.0,-0.0003344699290012132,1.0
37.0,0.037,0.06828257798574786,0.19875223858928084,0.005566620540187633,0.0,0.0003335424798855957,0.0,-0.0003335424798855957,1.0
38.0,0.038,0.06860260603418618,0.19892591997802647,0.005565714971568693,0.0,0.000332612970158519,0.0,-0.000332612970158519,1.0
39.0,0.039,0.06892276501019291,0.1990989160643161,0.005564809839664869,0.0,0.0003316814164878723,0.0,-0.0003316814164878723,1.0
40.0,0.04,0.0692430492430524,0.19927122882441914,0.00556390514552371,0.0,0.00033074783549624787,0.0,-0.00033074783549624787,1.0
41.0,0.041,0.06956345315850164,0.19944286022387914,0.00556300089023328,0.0,0.00032981224376427143,0.0,-0.00032981224376427143,1.0
42.0,0.042,0.06988397127660553,0.1996138122176468,0.005562097074920763,0.0,0.00032887465782882597,0.0,-0.00032887465782882597,1.0
43.0,0.043000000000000003,0.07020459820968787,0.19978408675021084,0.00556119370075099,0.0,0.0003279350941831627,0.0,-0.0003279350941831627,1.0
44.0,0.044,0.07052532866031104,0.1999536857557274,0.005560290768925119,0.0,0.0003269935692782333,0.0,-0.0003269935692782333,1.0
45.0,0.045,0.07084615741930526,0.2001226111581475,0.0055593882806792205,0.0,0.0003260500995210247,0.0,-0.0003260500995210247,1.0
46.0,0.046,0.07116707936385101,0.20029086487134315,0.005558486237283078,0.0,0.00032510470127622426,0.0,-0.00032510470127622426,1.0
47.0,0.047,0.0714880894556,0.2004584487992314,0.005557584640038864,0.0,0.00032415739086455453,0.0,-0.00032415739086455453,1.0
48.0,0.048,0.07180918273884997,0.20062536483589702,0.005556683490279955,0.0,0.0003232081845641055,0.0,-0.0003232081845641055,1.0
