case	error	l1	method	ok	range_max	range_min	sharpness	steps	wall	wiggle
leveque_N100	None	0.07327262386068993	first_order	True	0.6845359656675662	4.399644976919378e-28	0.01418921903741906	3132	142.47128629684448	0.0
leveque_N100	None	0.05167664013621282	Barth-Jespersen	True	0.8310011283209117	-6.533824817069711e-32	0.02033589912615413	3132	648.1384444236755	6.533824817069711e-32
leveque_N100	None	0.05574758771399081	Venkatakrishnan	True	0.7969333311786245	-7.598284160656655e-05	0.018992758779063784	3132	674.98921251297	7.598284160656655e-05
leveque_N100	None	0.019342452774105165	MLP-u1	True	0.9997367418515697	-9.47815113612207e-30	0.031244533888324415	3132	844.6590931415558	9.47815113612207e-30
leveque_N100	None	0.026749523862075155	MLP-u2	True	0.995426046890503	-0.0024391510134883668	0.03034960625717754	3132	1014.3219740390778	0.0024391510134883668
leveque_N100	FloatingPointError('NaN at step 769, t=0.24559896569372228')	None	T-MLP-u OFF	False	None	None	0.0	-1	230.2415931224823	None
leveque_N100	None	0.016525433006350457	T-MLP-u ON	True	0.996825870311658	-4.691771241094825e-12	0.028895368193217946	3132	960.6550483703613	4.691771241094825e-12
