step,time,mass,min_alpha,max_alpha,tip_y,centroid_y,radial_asymmetry,max_div,potential_residual,electric_force,csf_force,curvature,conductive_current,convective_current,total_current,max_velocity,wave_y_over_di,wave_asymmetry,morphology_volume_di3
0,0,0.162907666426,0,0.0677067384748,0.865712500038,0.312877522991,0.000484209348343,0,0,0,0,0,0,0,0,0,7.03203045784,0.00104313137245,0.699039342065
1,0.0029618754779,0.162907666426,0,0.0677067254095,0.865712500038,0.312877446619,0.000483810667494,1.48335543355e-14,0,0,0.139647574196,2.51719582846,0,0,0,0.0174438284783,5.15736559901,0.0357324027674,0.699039342065
2,0.0059237509558,0.162907666426,0,0.0677067135474,0.865712500038,0.312877332548,0.000483359871413,7.1868746772e-15,0,0,0.139648032885,2.51900026575,0,0,0,0.0202537873792,5.15736277463,0.0778430076266,0.699039342065
