case_id,label,defect_kind,steps_completed,final_time,final_voltage,min_dt,max_retry,max_pass_metric,cone_angle_degrees,jet_radius,whipping_offset,whipping_rms_radius,droplet_count,detached_droplet_count,mean_droplet_diameter,mean_charge_to_mass_ratio,plume_divergence_degrees,status
P0_normal,normal sharp tip,normal,8,0.00025,0.05,3.125e-05,5,8.680205429323351e-06,14.596575525494176,0.0009419482988489717,7.201757397865524e-10,0.003381011610996137,1,0,0.5161509743260271,6.978836636434032e-07,0.03442342065486896,completed
P1_bent_5deg,5 deg bent tip,bent,8,6.25e-05,0.0125,7.8125e-06,7,5.683900562436506e-06,14.596575525494176,0.0974355279284032,2.904442353290904e-09,0.002716518270591425,1,0,0.37221027460627,3.0735966512360325e-07,4.407535899512796,completed
P1_bent_10deg,10 deg bent tip,bent,8,6.25e-05,0.0125,7.8125e-06,7,5.586225904075093e-06,14.596575525494176,0.030365711490825006,0.06666379339833317,0.09431883875088691,2,1,0.2580757010057294,4.4369877679548765e-07,9.111117499736379,completed
P2_bump_005Do,single bump h=0.05Do,bump,8,0.00025,0.05,3.125e-05,5,8.680205429323351e-06,14.596575525494176,0.0009419482988489717,7.201757397865524e-10,0.003381011610996137,1,0,0.5161509743260271,6.978836636434032e-07,0.03442342065486896,completed
P2_bump_010Do,single bump h=0.10Do,bump,8,0.00025,0.05,3.125e-05,5,8.680205429323351e-06,14.596575525494176,0.0009419482988489717,7.201757397865524e-10,0.003381011610996137,1,0,0.5161509743260271,6.978836636434032e-07,0.03442342065486896,completed
P3_split_005Do,split/notched tip d=0.05Do,split,8,6.25e-05,0.0125,7.8125e-06,7,8.593539036150233e-06,14.596575525494176,0.035,2.0014830212433605e-16,0.003333221214732568,1,0,0.3251556251035067,2.0533678874130418e-07,0.006758443805662181,completed
P3_split_010Do,split/notched tip d=0.10Do,split,8,6.25e-05,0.0125,7.8125e-06,7,8.593539036150233e-06,14.596575525494176,0.035,2.0014830212433605e-16,0.003333221214732568,1,0,0.3251556251035067,2.0533678874130418e-07,0.006758443805662181,completed
P4_oxidized_moderate,moderate oxidized rough tip,oxidized,8,0.00025,0.05,3.125e-05,5,8.680205429323351e-06,14.596575525494176,0.0009419482988521024,7.201756612819252e-10,0.003381011610995826,1,0,0.5161509743260271,6.96375706695866e-07,0.03442342067600109,completed
P4_oxidized_severe,severe oxidized rough tip,oxidized,8,0.00025,0.05,3.125e-05,5,8.680205429101306e-06,14.596575525494176,0.0009419482988535993,7.201758182911711e-10,0.0033810116109956627,1,0,0.5161509743260271,6.955379427476896e-07,0.034423420687823524,completed
