step,time,voltage,accepted_dt,pass_metric,whipping_offset,jet_radius,droplet_count,mean_q_over_m
1.0,7.8125e-06,0.0015625,7.8125e-06,5.539251060504569e-06,2.9045559291063228e-09,0.0974355279284032,1.0,3.0681616458827534e-07
2.0,1.5625e-05,0.003125,7.8125e-06,5.539228739026569e-06,2.9045398308724657e-09,0.0974355279284032,1.0,3.0683404608111083e-07
3.0,2.34375e-05,0.004687500000000001,7.8125e-06,5.539195980119871e-06,2.9045237326386107e-09,0.0974355279284032,1.0,3.068718574527269e-07
4.0,3.125e-05,0.00625,7.8125e-06,5.6380518469456575e-06,2.9045076344047603e-09,0.0974355279284032,1.0,3.069295380236444e-07
5.0,3.90625e-05,0.0078125,7.8125e-06,5.626463396524173e-06,2.904491092081685e-09,0.0974355279284032,1.0,3.0700715554392734e-07
6.0,4.6875e-05,0.009375000000000001,7.8125e-06,5.534260680617464e-06,2.904474882825527e-09,0.0974355279284032,1.0,3.071047595136922e-07
7.0,5.46875e-05,0.010937500000000001,7.8125e-06,5.683900562436506e-06,2.904458562547072e-09,0.0974355279284032,1.0,3.072222014159816e-07
8.0,6.25e-05,0.0125,7.8125e-06,5.534198596723883e-06,2.904442353290904e-09,0.0974355279284032,1.0,3.0735966512360325e-07
