step,time,voltage,accepted_dt,pass_metric,whipping_offset,jet_radius,droplet_count,mean_q_over_m
1.0,3.125e-05,0.00625,3.125e-05,7.986111113744698e-06,0.0,9.714347558579232e-08,1.0,6.945948380059716e-07
2.0,6.25e-05,0.0125,3.125e-05,7.988895851740452e-06,6.0274279396411444e-12,0.00014756130196789705,1.0,6.946529708269663e-07
3.0,9.375e-05,0.018750000000000003,3.125e-05,8.029853118873831e-06,1.3051079544317144e-11,0.0002626820142700105,1.0,6.947766364943897e-07
4.0,0.000125,0.025,3.125e-05,8.1002458400814e-06,3.600536026253633e-12,0.0003764073668408691,1.0,6.949657890663952e-07
5.0,0.00015625,0.03125,3.125e-05,8.230411604248644e-06,6.418145447984602e-11,0.0004897093081458423,1.0,6.95220344959524e-07
6.0,0.0001875,0.037500000000000006,3.125e-05,8.680205429323351e-06,1.9091358690734228e-10,0.0006028270653325954,1.0,6.955398627171385e-07
7.0,0.00021875,0.043750000000000004,3.125e-05,8.656580972932204e-06,4.0681236912817896e-10,0.0008442840209879448,1.0,6.959250041767242e-07
8.0,0.00025,0.05,3.125e-05,8.680054944587567e-06,7.201756612819252e-10,0.0009419482988521024,1.0,6.96375706695866e-07
