step,time,voltage,accepted_dt,pass_metric,whipping_offset,jet_radius,droplet_count,mean_q_over_m
1.0,3.125e-05,0.00625,3.125e-05,7.986111113744698e-06,0.0,9.714347558579232e-08,1.0,6.945933951059497e-07
2.0,6.25e-05,0.0125,3.125e-05,7.988895851740452e-06,6.0274279396411444e-12,0.00014756130196660194,1.0,6.947043259566041e-07
3.0,9.375e-05,0.018750000000000003,3.125e-05,8.029853118873831e-06,1.3051236553563012e-11,0.0002626820142685624,1.0,6.949350625365153e-07
4.0,0.000125,0.025,3.125e-05,8.1002458400814e-06,3.6003790170077647e-12,0.0003764073668393779,1.0,6.952855613077347e-07
5.0,0.00015625,0.03125,3.125e-05,8.2304116040266e-06,6.418145447984602e-11,0.0004897093081443774,1.0,6.957557410728765e-07
6.0,0.0001875,0.037500000000000006,3.125e-05,8.680205429323351e-06,1.9091366541194908e-10,0.0006028270653312252,1.0,6.96345162058198e-07
7.0,0.00021875,0.043750000000000004,3.125e-05,8.656580972932204e-06,4.0681252613742483e-10,0.0008442840209843145,1.0,6.970544897910887e-07
8.0,0.00025,0.05,3.125e-05,8.680054944365523e-06,7.201757397865524e-10,0.0009419482988489717,1.0,6.978836636434032e-07
