iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,wall_seconds_monotone,accepted,phase
0,0.04714045207910319,1,0.0008187799976440147,0.0008187799976440147,0.0,1,0
1,0.006624123269729665,10,0.0015104659978533164,0.0015104659978533164,0.0006916860002093017,1,0
2,0.006172989511153295,14,0.002633063995745033,0.002633063995745033,0.0018142839981010184,1,0
3,0.005836662991377472,18,0.003796410994254984,0.003796410994254984,0.0029776309966109693,1,0
4,0.005537652012532939,58,0.02958221700100694,0.02958221700100694,0.028763437003362924,1,0
5,0.005271955221696901,63,0.031036715998197906,0.031036715998197906,0.03021793600055389,1,0
6,0.005038698440676506,68,0.03236783099418972,0.03236783099418972,0.0315490509965457,1,0
7,0.004826233484254633,73,0.03370677000202704,0.03370677000202704,0.03288799000438303,1,0
8,0.004634735363868997,113,0.04607210999529343,0.04607210999529343,0.045253329997649416,1,0
9,0.004460118158084897,118,0.04756271500082221,0.04756271500082221,0.046743935003178194,1,0
10,0.004299975904172985,123,0.048929488999419846,0.048929488999419846,0.04811070900177583,1,0
11,0.004152816621362076,128,0.050351687998045236,0.050351687998045236,0.04953290800040122,1,0
12,0.004016824162072043,168,0.062213372002588585,0.062213372002588585,0.06139459200494457,1,0
13,0.003890806560209027,173,0.06420386499667075,0.06420386499667075,0.06338508499902673,1,0
14,0.00377364874654337,178,0.06581591999565717,0.06581591999565717,0.06499713999801315,1,0
15,0.003664392450781218,183,0.06743487500352785,0.06743487500352785,0.06661609500588384,1,0
16,0.0035622469758654816,223,0.07998933899216354,0.07998933899216354,0.07917055899451952,1,0
17,0.003466503521509,228,0.08160894099273719,0.08160894099273719,0.08079016099509317,1,0
18,0.0033765555866174923,233,0.08338439599901903,0.08338439599901903,0.08256561600137502,1,0
19,0.0032918711997796126,238,0.08520194399170578,0.08520194399170578,0.08438316399406176,1,0
20,0.003211981237432706,278,0.09815478199743666,0.09815478199743666,0.09733600199979264,1,0
21,0.0031364733549734446,283,0.1000650880014291,0.1000650880014291,0.09924630800378509,1,0
22,0.0030649812484234047,288,0.10171434299263638,0.10171434299263638,0.10089556299499236,1,0
23,0.0029971793308563306,293,0.10318889300106093,0.10318889300106093,0.10237011300341692,1,0
24,0.0029327770127425645,333,0.11497984000016004,0.11497984000016004,0.11416106000251602,1,0
25,0.0028715139198923034,338,0.11649879500328097,0.11649879500328097,0.11568001500563696,1,0
26,0.0028131561882687936,343,0.11793035799928475,0.11793035799928475,0.11711157800164074,1,0
27,0.002757493048761865,348,0.11945201500202529,0.11945201500202529,0.11863323500438128,1,0
28,0.002704334039401516,387,0.13060867099557072,0.13060867099557072,0.1297898909979267,1,0
29,0.0026535065951667366,392,0.13223852300143335,0.13223852300143335,0.13141974300378934,1,0
30,0.0014694671311242982,441,0.13466227799654007,0.13466227799654007,0.13384349799889605,1,0
31,0.001060294773425254,490,0.13713958299194928,0.13713958299194928,0.13632080299430527,1,0
32,0.0008452760825423461,539,0.1395418019965291,0.1395418019965291,0.1387230219988851,1,0
33,0.0007104200507473333,588,0.14221152299433015,0.14221152299433015,0.14139274299668614,1,0
34,0.0006169866230109915,637,0.14464311899791937,0.14464311899791937,0.14382433900027536,1,0
35,0.0005479593527700423,686,0.14718063599138986,0.14718063599138986,0.14636185599374585,1,0
36,0.0004946180933761508,735,0.14960426700417884,0.14960426700417884,0.14878548700653482,1,0
37,0.0004520038075831451,784,0.15212827999494039,0.15212827999494039,0.15130949999729637,1,0
38,0.00041707531016193985,833,0.15446472899930086,0.15446472899930086,0.15364594900165685,1,0
39,0.0003878574099727462,882,0.1571200710022822,0.1571200710022822,0.1563012910046382,1,0
40,0.0003630078948532744,931,0.15959031399688683,0.15959031399688683,0.15877153399924282,1,0
41,0.00034158055181573473,980,0.1621305430016946,0.1621305430016946,0.1613117630040506,1,0
42,0.0003228875778000548,1029,0.16455471600056626,0.16455471600056626,0.16373593600292224,1,0
43,0.00030641575716206757,1078,0.16707911000412423,0.16707911000412423,0.16626033000648022,1,0
44,0.00029177334184710065,1127,0.16951681599311996,0.16951681599311996,0.16869803599547595,1,0
45,0.0002786552827571285,1176,0.17208368200226687,0.17208368200226687,0.17126490200462285,1,0
46,0.0002668198563749873,1225,0.17445542800123803,0.17445542800123803,0.17363664800359402,1,0
47,0.00025607259137499713,1274,0.17701774499437306,0.17701774499437306,0.17619896499672905,1,0
48,0.0002462549896835304,1323,0.17945876299927477,0.17945876299927477,0.17863998300163075,1,0
49,0.00023723645951849933,1372,0.1819735250028316,0.1819735250028316,0.18115474500518758,1,0
50,0.0002289084356687902,1421,0.18436736999137793,0.18436736999137793,0.1835485899937339,1,0
51,0.00022118001094982372,1470,0.18690110799798276,0.18690110799798276,0.18608232800033875,1,0
52,0.00021397462665996962,1519,0.18927222699858248,0.18927222699858248,0.18845344700093847,1,0
53,0.00020722751649660437,1568,0.19177771999966353,0.19177771999966353,0.19095894000201952,1,0
54,0.0002008836956502476,1617,0.1941229439980816,0.1941229439980816,0.1933041640004376,1,0
55,0.00019489635184647945,1666,0.1966709480038844,0.1966709480038844,0.1958521680062404,1,0
56,0.0001892255387989473,1715,0.19901749400014523,0.19901749400014523,0.19819871400250122,1,0
57,0.00018383710201645752,1764,0.2015480919944821,0.2015480919944821,0.20072931199683808,1,0
58,0.000178701786822354,1813,0.20393847199738957,0.20393847199738957,0.20311969199974556,1,0
59,0.00017379449200075064,1862,0.206460885994602,0.206460885994602,0.20564210599695798,1,0
60,0.00016909364177009146,1911,0.20885509200161323,0.20885509200161323,0.20803631200396921,1,0
61,0.00016458065522910968,1960,0.21139257999311667,0.21139257999311667,0.21057379999547265,1,0
62,0.00016023949696717966,2009,0.21373967900581192,0.21373967900581192,0.2129208990081679,1,0
63,0.00015605629579629345,2058,0.21628725399204995,0.21628725399204995,0.21546847399440594,1,0
64,0.00015201902100810678,2107,0.21873343900369946,0.21873343900369946,0.21791465900605544,1,0
65,0.00014811720736911024,2156,0.22129338700324297,0.22129338700324297,0.22047460700559895,1,0
66,0.00014434172153263754,2205,0.22372584999538958,0.22372584999538958,0.22290706999774557,1,0
67,0.00014068456367162118,2254,0.22621762000198942,0.22621762000198942,0.2253988400043454,1,0
68,0.00013713869909155323,2303,0.2286144429963315,0.2286144429963315,0.22779566299868748,1,0
69,0.00013369791535685865,2352,0.23115155000414234,0.23115155000414234,0.23033277000649832,1,0
70,0.00013035670111835165,2401,0.23357968199707102,0.23357968199707102,0.232760901999427,1,0
71,0.000127110143393533,2450,0.23616314500395674,0.23616314500395674,0.23534436500631273,1,0
72,0.00012395384052339985,2499,0.2386592739931075,0.2386592739931075,0.23784049399546348,1,0
73,0.00012088382843515303,2548,0.2412278720003087,0.2412278720003087,0.2404090920026647,1,0
74,0.00011789651819030344,2597,0.24366364600427914,0.24366364600427914,0.24284486600663513,1,0
75,0.00011498864310235574,2646,0.2462076139927376,0.2462076139927376,0.2453888339950936,1,0
76,0.00011215721395224319,2695,0.24860352399991825,0.24860352399991825,0.24778474400227424,1,0
77,0.00010939948106612029,2744,0.25112939199607354,0.25112939199607354,0.2503106119984295,1,0
78,0.00010671290219010526,2793,0.25355210999259725,0.25355210999259725,0.25273332999495324,1,0
79,0.00010409511527202706,2842,0.2561087829963071,0.2561087829963071,0.2552900029986631,1,0
80,0.00010154391538615808,2891,0.2585006669978611,0.2585006669978611,0.2576818870002171,1,0
81,9.905723516016227e-05,2940,0.2612009360018419,0.2612009360018419,0.2603821560041979,1,0
82,9.663312815956137e-05,2989,0.263747303004493,0.263747303004493,0.262928523006849,1,0
83,9.426975476833448e-05,3038,0.26629876099468675,0.26629876099468675,0.26547998099704273,1,0
84,9.196537017781253e-05,3087,0.268781395003316,0.268781395003316,0.267962615005672,1,0
85,8.97183141532911e-05,3136,0.2714023820008151,0.2714023820008151,0.2705836020031711,1,0
86,8.752700230568908e-05,3185,0.27380147999792825,0.27380147999792825,0.27298270000028424,1,0
87,8.538991863082121e-05,3234,0.27646167400234845,0.27646167400234845,0.27564289400470443,1,0
88,8.33056091150358e-05,3283,0.27889902899914887,0.27889902899914887,0.27808024900150485,1,0
89,8.127267625347008e-05,3332,0.28144539600179996,0.28144539600179996,0.28062661600415595,1,0
90,7.928977432218855e-05,3381,0.283885366996401,0.283885366996401,0.283066586998757,1,0
91,7.735560530424945e-05,3430,0.2864107969944598,0.2864107969944598,0.2855920169968158,1,0
92,7.546891535928056e-05,3479,0.288899922001292,0.288899922001292,0.288081142003648,1,0
93,7.362849174991734e-05,3528,0.29151802499836776,0.29151802499836776,0.29069924500072375,1,0
94,7.183316016927222e-05,3577,0.2939040560013382,0.2939040560013382,0.29308527600369416,1,0
95,7.00817823900326e-05,3626,0.29656975099351257,0.29656975099351257,0.29575097099586856,1,0
96,6.83732542003788e-05,3675,0.29898050699557643,0.29898050699557643,0.2981617269979324,1,0
97,6.670650357634903e-05,3724,0.30162423799629323,0.30162423799629323,0.3008054579986492,1,0
98,6.508048905941748e-05,3773,0.304169996001292,0.304169996001292,0.303351216003648,1,0
99,6.349419830474194e-05,3822,0.30683471099473536,0.30683471099473536,0.30601593099709135,1,0
100,6.194664677714712e-05,3871,0.30933575000381097,0.30933575000381097,0.30851697000616696,1,0
101,6.0436876574371434e-05,3920,0.3119140070048161,0.3119140070048161,0.31109522700717207,1,0
102,5.896395535823781e-05,3969,0.3143295589979971,0.3143295589979971,0.31351077900035307,1,0
103,5.7526975378814e-05,4018,0.3169910959986737,0.3169910959986737,0.3161723160010297,1,0
104,5.612505257635313e-05,4067,0.31961856299312785,0.31961856299312785,0.31879978299548384,1,0
105,5.4757325755230866e-05,4116,0.322249931996339,0.322249931996339,0.321431151998695,1,0
106,5.3422955816725346e-05,4165,0.3247959760046797,0.3247959760046797,0.3239771960070357,1,0
107,5.2121125042256305e-05,4214,0.3274815509939799,0.3274815509939799,0.3266627709963359,1,0
108,5.085103642600788e-05,4263,0.3300805170001695,0.3300805170001695,0.3292617370025255,1,0
109,4.961191304254397e-05,4312,0.3327161399938632,0.3327161399938632,0.33189735999621917,1,0
110,4.8402997454599685e-05,4361,0.33524615700298455,0.33524615700298455,0.33442737700534053,1,0
111,4.722355114865187e-05,4410,0.3378240430029109,0.3378240430029109,0.3370052630052669,1,0
112,4.607285399812449e-05,4459,0.3402645470050629,0.3402645470050629,0.3394457670074189,1,0
113,4.495020375594033e-05,4508,0.34281256000394933,0.34281256000394933,0.3419937800063053,1,0
114,4.3854915562667494e-05,4557,0.3453080509934807,0.3453080509934807,0.3444892709958367,1,0
115,4.278632148206872e-05,4606,0.3479262210021261,0.3479262210021261,0.3471074410044821,1,0
116,4.1743770048216534e-05,4655,0.350352269000723,0.350352269000723,0.349533489003079,1,0
117,4.0726625834832555e-05,4704,0.3529283950047102,0.3529283950047102,0.35210961500706617,1,0
118,3.973426903873328e-05,4753,0.35539655400498305,0.35539655400498305,0.35457777400733903,1,0
119,3.876609507349363e-05,4802,0.35792259400477633,0.35792259400477633,0.3571038140071323,1,0
120,3.782151418537827e-05,4851,0.36033521400531754,0.36033521400531754,0.3595164340076735,1,0
121,3.689995107074396e-05,4900,0.3629420210054377,0.3629420210054377,0.3621232410077937,1,0
122,3.600084451563119e-05,4949,0.3653768630028935,0.3653768630028935,0.3645580830052495,1,0
123,3.512364703780765e-05,4998,0.3680474779976066,0.3680474779976066,0.3672286979999626,1,0
124,3.4267824543876084e-05,5047,0.37054956499196123,0.37054956499196123,0.3697307849943172,1,0
