iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,wall_seconds_monotone,accepted,phase
0,0.04714045207910319,1,0.00027312499878462404,0.00027312499878462404,0.0,1,0
1,0.0012964972400574387,102,0.021798899993882515,0.021798899993882515,0.02152577499509789,1,0
2,0.0007823450693300925,203,0.04081247199792415,0.04081247199792415,0.040539346999139525,1,0
3,0.000580088375927286,304,0.06017203698866069,0.06017203698866069,0.05989891198987607,1,0
4,0.00046868200845318173,405,0.08180278199142776,0.08180278199142776,0.08152965699264314,1,0
5,0.00039705492152321086,506,0.10036414999922272,0.10036414999922272,0.1000910250004381,1,0
6,0.00034665766643926456,607,0.11966959098936059,0.11966959098936059,0.11939646599057596,1,0
7,0.0003090246637567492,708,0.14045017599710263,0.14045017599710263,0.140177050998318,1,0
8,0.00027969647992601854,809,0.15825927299738396,0.15825927299738396,0.15798614799859934,1,0
9,0.00025607259137499713,910,0.17739969199465122,0.17739969199465122,0.1771265669958666,1,0
10,0.00023651744424062332,1011,0.19842036299814936,0.19842036299814936,0.19814723799936473,1,0
11,0.00021994467439696383,1112,0.2164552839967655,0.2164552839967655,0.21618215899798088,1,0
12,0.00020560571020269958,1213,0.23547472499194555,0.23547472499194555,0.23520159999316093,1,0
13,0.00019297270730306865,1314,0.2562389949889621,0.2562389949889621,0.25596586999017745,1,0
14,0.0001816681535092955,1415,0.2740526799898362,0.2740526799898362,0.27377955499105155,1,0
15,0.00017141948718238395,1516,0.29258290099096484,0.29258290099096484,0.2923097759921802,1,0
16,0.00016202836580825406,1617,0.31338662399502937,0.31338662399502937,0.31311349899624474,1,0
17,0.00015334924071646217,1718,0.3323904680000851,0.3323904680000851,0.33211734300130047,1,0
18,0.0001452742049431988,1819,0.3514298459922429,0.3514298459922429,0.3511567209934583,1,0
19,0.00013772222074400997,1920,0.37173200999677647,0.37173200999677647,0.37145888499799185,1,0
20,0.000130631456123085,2021,0.38882269799069036,0.38882269799069036,0.38854957299190573,1,0
21,0.00012395384052339985,2122,0.4087266289861873,0.4087266289861873,0.40845350398740266,1,0
22,0.00011765120423436351,2223,0.4289240049984073,0.4289240049984073,0.4286508799996227,1,0
23,0.00011169254507486151,2324,0.4475495999940904,0.4475495999940904,0.44727647499530576,1,0
24,0.00010605209486782407,2425,0.4664545139967231,0.4664545139967231,0.4661813889979385,1,0
25,0.00010070795158945933,2526,0.4877644319931278,0.4877644319931278,0.4874913069943432,1,0
26,9.564111059125836e-05,2627,0.5053406410006573,0.5053406410006573,0.5050675160018727,1,0
27,9.0834776803795e-05,2728,0.5246924639941426,0.5246924639941426,0.524419338995358,1,0
28,8.62738745325718e-05,2829,0.5460763859882718,0.5460763859882718,0.5458032609894872,1,0
29,8.194469611132569e-05,2930,0.5635726369946497,0.5635726369946497,0.563299511995865,1,0
30,7.783464814194468e-05,3031,0.5832540689880261,0.5832540689880261,0.5829809439892415,1,0
31,7.393206637188857e-05,3132,0.6036625039996579,0.6036625039996579,0.6033893790008733,1,0
32,7.022607891004284e-05,3233,0.620774465991417,0.620774465991417,0.6205013409926323,1,0
33,6.670650357634903e-05,3334,0.6401357219874626,0.6401357219874626,0.639862596988678,1,0
34,6.336376943907507e-05,3435,0.6614522359886905,0.6614522359886905,0.6611791109899059,1,0
35,6.018885556160953e-05,3536,0.6781522969977232,0.6781522969977232,0.6778791719989385,1,0
36,5.7173242092922514e-05,3637,0.6970894479891285,0.6970894479891285,0.6968163229903439,1,0
37,5.4308870269607845e-05,3738,0.7167678799887653,0.7167678799887653,0.7164947549899807,1,0
38,5.158810893386389e-05,3839,0.7335928969987435,0.7335928969987435,0.7333197719999589,1,0
39,4.900372586845053e-05,3940,0.7531533219880657,0.7531533219880657,0.7528801969892811,1,0
40,4.654886276533566e-05,4041,0.7747434669872746,0.7747434669872746,0.77447034198849,1,0
41,4.421701297326864e-05,4142,0.792338255996583,0.792338255996583,0.7920651309977984,1,0
42,4.200200142851032e-05,4243,0.8123787829972571,0.8123787829972571,0.8121056579984725,1,0
43,3.989796633281985e-05,4344,0.8331521899963263,0.8331521899963263,0.8328790649975417,1,0
44,3.789934226748778e-05,4445,0.8509967839927413,0.8509967839927413,0.8507236589939566,1,0
45,3.600084451563119e-05,4546,0.8716488579957513,0.8716488579957513,0.8713757329969667,1,0
46,3.419745442106667e-05,4647,0.8921242049982538,0.8921242049982538,0.8918510799994692,1,0
47,3.2484405655155526e-05,4748,0.9094925859972136,0.9094925859972136,0.909219460998429,1,0
48,3.085717129700148e-05,4849,0.9296318999986397,0.9296318999986397,0.9293587749998551,1,0
49,2.9311451642194988e-05,4950,0.9487925339926733,0.9487925339926733,0.9485194089938886,1,0
50,2.784316268630594e-05,5051,0.9657983609940857,0.9657983609940857,0.965525235995301,1,0
51,2.6448425221760528e-05,5152,0.9872478469915222,0.9872478469915222,0.9869747219927376,1,0
52,2.5123554514599755e-05,5253,1.0075583739962894,1.0075583739962894,1.0072852489975048,1,0
