base_case_id,scaling_level,case_id,case_label,method,tol,N,lbe_calls,wall_seconds,final_residual,converged,finite_fields,history_wall_monotone,history_final_consistent,cache_label_picard,cache_label_method,cache_hash_picard,cache_hash_method,channel_core_rel_l2_analytic,channel_full_rel_l2_analytic,channel_rel_l2_vs_tight_picard,channel_core_flux_cv,channel_boundary_flux_imbalance,rel_l2_vs_picard,linf_vs_picard,rms_vs_picard,vel_abs_l2_vs_picard,vel_abs_linf_vs_picard,vel_abs_rms_vs_picard,rel_l2_vs_ref,linf_vs_ref,rms_vs_ref,vel_abs_l2_vs_ref,vel_abs_linf_vs_ref,vel_abs_rms_vs_ref,reference_source,ref_velocity_l2,rho_abs_l2_vs_picard,rho_abs_linf_vs_picard,rho_abs_rms_vs_picard,flux_imbalance,velocity_span_rel,max_jump_rel,mass_imbalance,rho_min,rho_max,ghia_u_centerline_rms,ghia_v_centerline_rms,ghia_u_centerline_linf,ghia_v_centerline_linf,cavity_centerline_delta_u_rms,cavity_centerline_delta_v_rms,cavity_field_rel_l2_vs_tight_ref,ghia_literature_gate_pass,ghia_method_gate_pass,tight_ref_gate_pass,physical_converged,eligible_for_score,centerline_profile_rms,pressure_drop,reattachment_x,run_mode,method_tol,reference_tol,reference_converged,reference_final_residual
cavity_re100_n33,1,cavity_re100_n33__1x,"Lid-driven cavity Re=100 N=33 (N=33, 1x)",picard_lbm,5e-07,33,2930,1.0832613629754633,4.7427383596879855e-07,1,1,1,1,tol5.00e-07,tol5.00e-07,4bae8b6fbaba,4bae8b6fbaba,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01420522799484994,0.014729495000633586,0.005799083098843241,0.03381417458356535,0.014729495000633586,0.00579908309884324,ghia_centerline,0.9486906602417658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.008075094323529389,0.001432334193085568,0.014729495000633586,0.002708986386379203,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,strict,5e-07,5e-07,1,4.7427383596879855e-07
cavity_re100_n33,1,cavity_re100_n33__1x,"Lid-driven cavity Re=100 N=33 (N=33, 1x)",proposed,5e-07,33,2715,0.22810984984971583,2.38467654622396e-07,1,1,1,1,tol5.00e-07,tol5.00e-07,4bae8b6fbaba,cd680afa3295,nan,nan,nan,0.0,0.0,0.007942119611730799,0.00038840492207589325,0.0002283216575203627,0.007534614698171969,0.00038840492207589325,0.0002283216575203627,0.013735265796032816,0.013299960245818476,0.0053469370140259926,0.03117773251355333,0.013299960245818476,0.0053469370140259926,ghia_centerline,0.9486906602417658,0.027675700838063557,0.000953053346067767,0.0008386576011534412,0.0,0.0,0.0,0.0,nan,nan,0.007411287864099684,0.0015007608268378853,0.013299960245818476,0.003380511312367468,0.002576755673160054,0.002563551310777451,0.007942119611730799,1.0,1.0,0.0,0.0,0.0,nan,nan,nan,strict,5e-07,5e-07,1,4.7427383596879855e-07
